recording_name,age_months,exp_to_target_lang,fre_exp,eng_exp,subject_id,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,exp_to_target_lang_centred,age_months_centred
CompMix36_S01_88272000_F1,46,65,65,35,88272000,0.5575713291343349,0.3387796475387355,14,0.10953878406708596,0.5257600258133852,12,1.4615384615384615,0.6602252917735247,13,0.5714285714285714,0.5345224838248488,7,0.8333333333333334,0.408248290463863,6,460.2,273.4039136515789,5,15,14,1033.3333333333335,640.3847223291579,13,0.0442857142857142,0.08794353833037376,14,0.004077617784514352,0.089279664470802,14,418.7857142857143,261.1425129846002,14,1062.820512820513,707.0463421265468,13,0.15000000000000002,21
CompMix36_S04_82812000_F1,39,70,70,30,82812000,0.7687440261647006,0.19867486475308502,15,0.49910152740341424,0.20893682551044815,14,1.2666666666666666,0.5936168397046637,15,1,0,5,1,0,10,372,131.03434664239754,10,17,15,1633.1481481481483,613.3818442781501,15,0.04566666666666667,0.07480609855454537,15,0.028386507936507974,0.05077955958434208,15,437.53333333333336,222.4618319322815,15,1557.7777777777778,721.1341009371222,15,0.19999999999999996,14
CompMix36_S21_503484000_F1,37,50,50,50,503484000,0.847971791112014,0.12690687634292583,13,0.49937106918238994,0.1691552406003477,10,2.1538461538461537,0.8006407690254357,13,0.3333333333333333,0.5773502691896257,3,1,0,6,257,130.64149417394154,6,12,13,898.7179487179487,628.9654197240181,13,0.10692307692307697,0.14985463041364527,13,0.05771993810786917,0.09893174514078645,13,363.9230769230769,186.18112218055367,13,826.9230769230769,560.693125182377,13,0,12
CompMix36_S25_93468000_F1,37,90,90,10,93468000,0.9091529383239937,0.12970179872192597,14,0.5927672955974843,0.11138630960903466,12,2.4285714285714284,0.646206172658864,14,1,0,10,1,0,3,337,258.37182508934677,3,5,14,760.7142857142858,236.4410895361792,14,0.13214285714285717,0.1433086272258675,14,0.08364536340852131,0.10599337150923957,14,381.92857142857144,224.40569864069315,14,844.047619047619,409.742839033453,14,0.4,12
CompMix36_S28_502428000_F1,38,40,40,60,502428000,0.8320781226778294,0.1835985819263849,11,0.4009433962264151,0.2437403975751525,8,1.0909090909090908,0.30151134457776363,11,0.6666666666666666,0.5773502691896257,3,1,0,3,623.3333333333334,628.9374637699151,3,5,11,1690.909090909091,615.6461662515263,11,0.025000000000000227,0.16795336654361337,7,0.010925697865352977,0.11990813458710284,7,406.42857142857144,198.710725379765,7,1634.848484848485,689.1401464246162,11,-0.09999999999999998,13
CompMix36_S13_536412000_F2,40.43333333333333,70,70,40,536412000,0.7321289846277536,0.21514493218114225,14,0.33962264150943394,0.28217267565811865,12,1.7857142857142858,0.8017837257372732,14,0.75,0.5,4,1,0,7,513.1428571428571,142.8722372977906,7,12,14,923.2142857142858,432.7310727445874,14,0.09884615384615379,0.08834482266838112,13,0.04941979285082733,0.10225872752471109,13,397.2307692307692,152.822966122108,13,802.3809523809524,512.5292212998228,14,0.19999999999999996,15.43333333333333
CompMix36_S15_97932000_F2,39.46666666666667,45,45,50,97932000,0.5627342777394975,0.284107682800181,12,-0.0025157232704402623,0.31404864066523475,10,1.5,0.7977240352174656,12,0.3333333333333333,0.5773502691896257,3,0.8333333333333334,0.408248290463863,6,810.2,462.03917582819753,5,12,12,825.2314814814815,644.1564341765003,12,0.06249999999999989,0.16575584454250772,12,0.05202777777777782,0.11544828815992575,12,401.1666666666667,213.76062794772582,12,691.6666666666667,608.3800314164353,12,-0.04999999999999999,14.466666666666669
CompMix36_S17_94332000_F2,38,40,40,60,94332000,0.6443366169042721,0.27766768237556966,16,0.26690251572327045,0.389314229978365,16,1.75,0.6831300510639732,16,0.625,0.5175491695067657,8,1,0,6,400.8333333333333,162.67073082354634,6,22,16,1054.1666666666667,698.2525219160615,16,0.11218749999999994,0.0976211853714824,16,0.05351412835249042,0.11694947009551446,16,380.125,215.9589081283752,16,1102.0833333333335,766.5187055290471,16,-0.09999999999999998,13
CompMix36_S24_545388000_F2,41,40,40,60,545388000,0.6351568953665809,0.20513392356562826,15,0.2376460017969452,0.2747452559944118,14,1.3333333333333333,0.4879500364742666,15,0.4,0.5477225575051661,5,1,0,10,285.7,233.37240149121698,10,23,15,1397.7777777777778,722.0140115013232,15,0.07100000000000002,0.16100354920666451,15,0.019644444444444353,0.1343637581737799,15,335.53333333333336,215.2031819555871,15,1252.2222222222224,780.9707702054822,15,-0.09999999999999998,16
CompMix36_S30_109320000_F2,40.2,60,60,40,109320000,0.5146070796548532,0.21519219228694952,16,0.029481132075471705,0.1556857866308112,16,1.1875,0.4031128874149275,16,0.375,0.5175491695067657,8,1,0,6,498,250.27424957434195,6,20,16,1084.8958333333335,521.5736405341053,16,0.06406250000000008,0.06812289752107344,16,0.03192187499999999,0.0401070496799226,16,416.25,153.04618039445916,16,1184.375,545.9096638740801,16,0.09999999999999998,15.200000000000003
