recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
108_pomper_saffran_2016_46,46,0.8667422446834212,0.11962474544696926,8,0.6155660377358491,0.04645687642356656,4,1.125,0.3535533905932738,8,1,0,3,1,0,3,565,402.33692348577705,3,6,8,1294.7916666666667,346.6087835146764,8,1297.9166666666667,340.80175077797554,8,2595.8333333333335,681.6035015559511,21
109_pomper_saffran_2016_43,43,0.8426413335538938,0.14798050984843492,8,0.5495283018867925,0.22659518519117192,4,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,5,345,195.57607215607945,5,6,8,1343.75,361.20801508096434,8,1314.5833333333335,421.86636528494444,8,2745.8333333333335,621.5539920870633,18
110_pomper_saffran_2016_47,47,0.8477782536963006,0.20434828739560595,8,0.5613207547169812,0.11438071370737869,4,1.125,0.3535533905932738,8,0.5,0.5773502691896257,4,1,0,4,315,406.71447806374766,4,3,8,1291.6666666666667,492.4025969268618,8,1275,524.8582575097686,8,2616.666666666667,924.9624617007739,22
111_pomper_saffran_2016_42,42,0.7379636141929464,0.22089007043651998,8,0.5212264150943396,0.12405451130549919,4,1.25,0.4629100498862757,8,0,0,4,1,0,2,427.5,123.74368670764582,2,8,8,1020.8333333333334,481.729687753923,8,975.0000000000001,534.37398472938,8,2133.3333333333335,904.3106644167025,17
112_pomper_saffran_2016_43,43,0.9079820416694395,0.14736122166537666,8,0.5613207547169812,0.31046193720574217,4,1,0,8,0.6666666666666666,0.5773502691896257,3,1,0,3,115,25,3,2,8,1410.4166666666667,368.9256710960228,8,1410.4166666666667,368.9256710960228,8,2820.8333333333335,737.8513421920456,18
113_pomper_saffran_2016_42,42,0.7191842061012484,0.16023366606185235,8,0.3231132075471698,0.37699471459593964,4,1.125,0.3535533905932738,8,0,0,3,1,0,3,423.3333333333333,208.16659994661327,3,8,8,1042.7083333333335,348.79149352067196,8,1020.8333333333334,392.26145313941777,8,2129.166666666667,623.2117273791124,17
114_pomper_saffran_2016_42,42,0.764623786407767,0.21430617034066177,8,0.759433962264151,0.1154135176320916,4,1,0,8,0.25,0.5,4,0.75,0.5,4,406.6666666666667,28.867513459481287,3,7,8,1247.9166666666667,396.4562767381535,8,1247.9166666666667,396.4562767381535,8,2495.8333333333335,792.912553476307,17
115_pomper_saffran_2016_42,42,0.7742615175524922,0.1412976906889863,8,0.39858490566037735,0.10402342708819554,4,1,0,8,0.3333333333333333,0.5773502691896257,3,1,0,5,565,182.8592354790974,5,8,8,1272.9166666666667,288.253842607133,8,1272.9166666666667,288.253842607133,8,2545.8333333333335,576.507685214266,17
116_pomper_saffran_2016_45,45,0.8237631276969593,0.222190155268923,8,0.4929245283018868,0.13614028009114917,4,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,4,221.25,179.55384522012702,4,5,8,1315.625,481.49151330106787,8,1347.9166666666667,424.9591483634371,8,2695.8333333333335,849.9182967268742,20
117_pomper_saffran_2016_43,43,0.9466638042599773,0.057906367691085446,8,0.8160377358490566,0.1417189225062107,4,1,0,8,0.75,0.5,4,1,0,4,208.75,94.37293044088437,4,1,8,1581.2500000000002,212.4007704825651,8,1581.2500000000002,212.4007704825651,8,3162.5000000000005,424.8015409651302,18
