recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
108_pomper_saffran_2016_46,46,0.9455128205128205,0.09437456323291958,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,1400,394.0530139178963,3,1400,394.0530139178963,3,2800,788.1060278357926,21
109_pomper_saffran_2016_43,43,0.8716339869281046,0.1229624920279595,3,0.7452830188679245,0.026683274761756505,2,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1494.4444444444446,247.39382309124795,3,1494.4444444444446,247.39382309124795,3,2988.888888888889,494.7876461824959,18
110_pomper_saffran_2016_47,47,0.7854575163398693,0.2512493877788405,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,1016.6666666666667,539.0320542932077,4,983.3333333333334,585.1558829982037,4,2100,995.1735378165812,22
111_pomper_saffran_2016_42,42,0.7618702153720527,0.1497763299277616,4,0.41509433962264153,0.026683274761756505,2,1.5,0.5773502691896257,4,0,0,4,NA,NA,NA,NA,NA,NA,4,4,945.8333333333334,466.7906581311568,4,854.1666666666667,564.5999895042048,4,2075,815.3049872423339,17
112_pomper_saffran_2016_43,43,0.98679867986798675,0.022865357195628763,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,0,3,1661.111111111111,91.79284245476839,3,1661.111111111111,91.79284245476839,3,3322.222222222222,183.58568490953678,18
113_pomper_saffran_2016_42,42,0.6628946450375022,0.2244587496986313,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,3,3,869.4444444444446,404.51731638986644,3,811.1111111111112,492.8188007476688,3,1855.5555555555557,647.5023237481541,17
114_pomper_saffran_2016_42,42,0.775,0.2215851980616034,4,NA,NA,NA,1,0,4,0.25,0.5,4,NA,NA,NA,NA,NA,NA,3,4,1195.8333333333335,436.1818767780588,4,1195.8333333333335,436.1818767780588,4,2391.666666666667,872.3637535561176,17
115_pomper_saffran_2016_42,42,0.8489491054368594,0.14750638412289996,3,NA,NA,NA,1,0,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1338.888888888889,385.98119317070547,3,1338.888888888889,385.98119317070547,3,2677.777777777778,771.9623863414109,17
116_pomper_saffran_2016_45,45,0.8556209150326798,0.17791460757010813,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1444.4444444444446,325.0356105846683,3,1444.4444444444446,325.0356105846683,3,2888.888888888889,650.0712211693366,20
117_pomper_saffran_2016_43,43,0.941614576406437,0.07809588702766859,4,NA,NA,NA,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,1525,304.74640337561056,4,1525,304.74640337561056,4,3050,609.4928067512211,18
118_pomper_saffran_2016_42,42,0.7463707132337472,0.28818895737079103,3,0.4386792452830189,0.060037368213952134,2,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,980.5555555555557,684.4672164321462,3,872.2222222222223,780.0166190062401,3,2177.777777777778,1263.2996184302147,17
119_pomper_saffran_2016_43,43,1,0,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,1761.1111111111113,9.622504486493675,3,1761.1111111111113,9.622504486493675,3,3522.2222222222226,19.24500897298735,18
120_pomper_saffran_2016_42,42,0.5659709618874773,0.4431288049795188,2,NA,NA,NA,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,1,2,491.6666666666667,341.768277573498,2,491.6666666666667,341.768277573498,2,983.3333333333334,683.536555146996,17
121_pomper_saffran_2016_42,42,0.8616578152660627,0.10638425972824637,4,NA,NA,NA,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,1370.8333333333335,297.0144652918315,4,1370.8333333333335,297.0144652918315,4,2741.666666666667,594.028930583663,17
122_pomper_saffran_2016_44,44,0.9426485148514852,0.08015047178672467,4,NA,NA,NA,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,1608.3333333333335,212.78575558006173,4,1608.3333333333335,212.78575558006173,4,3216.666666666667,425.57151116012346,19
123_pomper_saffran_2016_43,43,0.7734823196605375,0.1416439129133891,5,0.5188679245283019,0,2,1.2,0.44721359549995793,5,0.4,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,5,5,1126.6666666666667,393.6298317511574,5,1146.6666666666667,367.12093072688975,5,2293.3333333333335,734.2418614537795,18
124_pomper_saffran_2016_42,42,0.7666666666666666,0.3299831645537222,2,NA,NA,NA,2,0,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,3,2,579.1666666666667,276.9501559647311,2,533.3333333333334,377.12361663282536,2,1300,424.2640687119285,17
125_pomper_saffran_2016_43,43,1,0,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,1766.6666666666667,0,3,1766.6666666666667,0,3,3533.3333333333335,0,18
126_pomper_saffran_2016_44,44,0.8424735702220906,0.158979696008257,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,4,4,1210.4166666666667,443.5429224709533,4,1195.8333333333335,465.94686551309854,4,2450,843.9325934114776,19
127_pomper_saffran_2016_41,41,0.74,NA,1,NA,NA,NA,2,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,2,1,616.6666666666667,NA,1,266.6666666666667,NA,1,1933.3333333333335,NA,16
128_pomper_saffran_2016_47,47,0.7408282828282828,0.17141340333049432,5,0.18396226415094338,0.006670818690439165,2,1.4,0.5477225575051661,5,0.2,0.44721359549995793,5,NA,NA,NA,NA,NA,NA,6,5,993.3333333333334,493.23197156893406,5,973.3333333333334,532.8904411060704,5,2120,855.2452539736449,22
129_pomper_saffran_2016_45,45,0.8339517625231911,0.2017790495012323,4,0.4245283018867924,0.08004982428526951,2,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,858.3333333333334,250,4,900,215.1657414559676,4,1800,430.3314829119352,20
130_pomper_saffran_2016_44,44,0.9338235294117647,0.13235294117647056,4,NA,NA,NA,1.25,0.5,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,2,4,1477.0833333333335,568.1098860190629,4,1441.6666666666667,638.937196241337,4,3025,994.5685831890462,19
131_pomper_saffran_2016_42,42,0.982843137254902,0.03431372549019607,4,1,0,2,1,0,4,1,0,4,NA,NA,NA,NA,NA,NA,0,4,1720.8333333333335,91.66666666666663,4,1720.8333333333335,91.66666666666663,4,3441.666666666667,183.33333333333326,17
132_pomper_saffran_2016_41,41,0.9166666666666666,0.14433756729740643,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1572.2222222222224,336.7876570272817,3,1572.2222222222224,336.7876570272817,3,3144.444444444445,673.5753140545634,16
133_pomper_saffran_2016_45,45,0.8180147058823529,0.007798971851322188,2,NA,NA,NA,1,0,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,2,2,1241.6666666666667,58.92556509887907,2,1241.6666666666667,58.92556509887907,2,2483.3333333333335,117.85113019775814,20
134_pomper_saffran_2016_44,44,0.6028069153069153,0.1045963119412502,2,NA,NA,NA,1.5,0.7071067811865476,2,0,0,2,NA,NA,NA,NA,NA,NA,3,2,737.5,253.37992992517957,2,766.6666666666667,212.13203435596427,2,1533.3333333333335,424.26406871192853,19
135_pomper_saffran_2016_46,46,0.8741496598639455,0.21797918326547094,3,0.37264150943396224,0.28684520368888244,2,1.6666666666666667,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,638.8888888888889,122.00106253332082,3,738.8888888888889,333.4721932990871,3,1622.2222222222224,462.2809791714382,21
136_pomper_saffran_2016_42,42,0.7778459125585718,0.12168351569451168,4,0.33490566037735847,0.046695730833073885,2,1.75,0.5,4,0.25,0.5,4,NA,NA,NA,NA,NA,NA,6,4,829.1666666666667,474.4148442496762,4,833.3333333333334,494.4132324730443,4,1950,802.5422568775268,17
137_pomper_saffran_2016_45,45,0.8451178451178452,0.2682637614416443,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,1472.2222222222222,509.99273778416944,3,1472.2222222222222,509.99273778416944,3,2944.4444444444443,1019.9854755683389,20
138_pomper_saffran_2016_43,43,0.6851743997929205,0.3045078218881068,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1100,425.2450274057691,3,1100,425.2450274057691,3,2200,850.4900548115382,18
139_pomper_saffran_2016_45,45,0.5451388888888888,0.5060756444153091,3,NA,NA,NA,1.5,0.7071067811865476,2,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1100,942.8090415820634,2,1158.3333333333335,860.3132504436329,2,2316.666666666667,1720.6265008872658,20
140_pomper_saffran_2016_46,46,0.8761904761904762,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1533.3333333333335,NA,1,1533.3333333333335,NA,1,3066.666666666667,NA,21
141_pomper_saffran_2016_47,47,0.60394652216698,0.13324662192743375,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,4,3,833.3333333333334,334.5809983314122,3,833.3333333333334,334.5809983314122,3,1666.6666666666667,669.1619966628244,22
142_pomper_saffran_2016_46,46,0.8235294117647058,0.24956709924231088,2,0.6415094339622642,0.02668327476175658,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,2,2,1158.3333333333335,860.3132504436329,2,1175,836.7430244040812,2,2350,1673.4860488081624,21
