recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
0_casillas_tseltal_2015_14,14,0.14752503399090075,0.28069940149868633,15,NA,NA,NA,1,0,5,NA,NA,NA,0.26666666666666666,0.45773770821706344,15,565,300.6936425444786,4,6,15,763.3333333333334,584.9263961293667,5,763.3333333333334,584.9263961293667,5,1832,1403.8233507104803,-11
1_casillas_tseltal_2015_22,22,0.3977608966177834,0.2769708081420309,18,NA,NA,NA,1.0769230769230769,0.2773500981126146,13,NA,NA,NA,0.6111111111111112,0.5016313257045503,18,917.2727272727273,354.86873373378245,11,18,18,907.6923076923077,295.8521421732316,13,916.6666666666667,279.9636219754803,13,2200,671.9126927411527,-3
2_casillas_tseltal_2015_45,45,0.6760814728480943,0.16307495137069844,13,NA,NA,NA,1.0769230769230769,0.2773500981126146,13,NA,NA,NA,1,0,13,330.38461538461536,224.1972860605656,13,14,13,1026.2820512820513,347.1085283946946,13,1046.1538461538462,320.31190283802306,13,2510.769230769231,768.7485668112553,20
3_casillas_tseltal_2015_22,22,0.37622258411802545,0.3293447920179696,16,NA,NA,NA,1,0,11,NA,NA,NA,0.375,0.5,16,656.6666666666666,288.8194360957494,6,11,16,883.3333333333334,441.9024527854284,11,883.3333333333334,441.9024527854284,11,2120,1060.565886685028,-3
4_casillas_tseltal_2015_45,45,0.6150506833597875,0.25714260864707783,19,NA,NA,NA,1.1764705882352942,0.3929526239966879,17,NA,NA,NA,0.9473684210526315,0.22941573387056177,19,440,194.40709258424403,18,21,19,1043.6274509803923,384.3231041272605,17,1058.8235294117649,379.8353831604602,17,2590.5882352941176,820.3084068525333,20
5_casillas_tseltal_2015_27,27,0.49020318316703965,0.30599426135992486,15,NA,NA,NA,1.1538461538461537,0.3755338080994054,13,NA,NA,NA,0.7333333333333333,0.45773770821706344,15,410.45454545454544,233.93860888547817,11,19,15,842.948717948718,447.80646129843507,13,838.4615384615385,451.66280314996914,13,2107.6923076923076,1056.962265537058,2
6_casillas_tseltal_2015_39,39,0.6932093007389761,0.2459708805620711,17,NA,NA,NA,1,0,16,NA,NA,NA,0.8823529411764706,0.3321055820775357,17,581.6666666666666,267.53949419175655,15,14,17,1269.7916666666667,334.3993371205551,16,1269.7916666666667,334.3993371205551,16,3047.5,802.5584090893323,14
7_casillas_tseltal_2015_25,25,0.07051282051282051,0.1718748726506122,12,NA,NA,NA,1,0,2,NA,NA,NA,0.08333333333333333,0.28867513459481287,12,1265,NA,1,2,12,733.3333333333334,282.842712474619,2,733.3333333333334,282.842712474619,2,1760,678.8225099390856,0
8_casillas_tseltal_2015_14,14,0.1962216655540587,0.23038095690365715,14,NA,NA,NA,1,0,8,NA,NA,NA,0.42857142857142855,0.5135525910130955,14,990,220.22715545545242,6,13,14,577.0833333333334,342.94910307739156,8,577.0833333333334,342.94910307739156,8,1385,823.0778473857396,-11
9_casillas_tseltal_2015_42,42,0.5231015701707608,0.26006637523927767,13,NA,NA,NA,1.0833333333333333,0.28867513459481287,12,NA,NA,NA,0.9230769230769231,0.2773500981126146,13,519.1666666666666,210.74363285252247,12,20,13,894.4444444444446,388.0365840644289,12,913.8888888888889,371.0368582342598,12,2193.3333333333335,890.4884597622234,17
10_casillas_tseltal_2015_46,46,0.7572571054924466,0.20314345187237953,16,NA,NA,NA,1,0,16,NA,NA,NA,0.9375,0.25,16,596.6666666666666,344.92062578981574,15,12,16,1295.8333333333335,362.9355620798577,16,1295.8333333333335,362.9355620798577,16,3110,871.0453489916584,21
11_casillas_tseltal_2015_9,9,0.4562462175505654,0.3577551689945897,3,NA,NA,NA,1.5,0.7071067811865476,2,NA,NA,NA,0.3333333333333333,0.5773502691896257,3,815,NA,1,2,3,662.5,194.45436482630058,2,616.6666666666667,259.2724864350674,2,1700,311.1269837220809,-16
12_casillas_tseltal_2015_16,16,0.2689870885615566,0.3558359120360191,9,NA,NA,NA,1.25,0.5,4,NA,NA,NA,0.4444444444444444,0.5270462766947299,9,652.5,657.4889099191458,4,4,9,654.1666666666667,196.43819120263493,4,637.5,219.1629699730486,4,1610,425.0490167812021,-9
13_casillas_tseltal_2015_48,48,0.4471962297490567,0.3604745757721168,6,NA,NA,NA,1,0,4,NA,NA,NA,0.6666666666666666,0.5163977794943222,6,465,384.59935864047753,4,4,6,1129.1666666666667,226.64011282370285,4,1129.1666666666667,226.64011282370285,4,2710,543.9362707768868,23
14_casillas_tseltal_2015_29,29,0.6029959078262573,0.27868663408440797,12,NA,NA,NA,1.0833333333333333,0.28867513459481287,12,NA,NA,NA,1,0,12,442.0833333333333,216.232811543204,12,16,12,936.8055555555557,494.20196783990554,12,968.0555555555557,485.6245761452245,12,2323.3333333333335,1165.4989827485388,4
15_casillas_tseltal_2015_39,39,0.5346549744063608,0.29234921608022996,17,NA,NA,NA,1.1333333333333333,0.3518657752744984,15,NA,NA,NA,0.8235294117647058,0.3929526239966879,17,282.85714285714283,165.95544218617476,14,17,17,941.6666666666667,474.9582270687786,15,938.8888888888889,479.32105863260097,15,2309.3333333333335,1089.2164068505308,14
16_casillas_tseltal_2015_41,41,0.5733146299761296,0.293214765097166,9,NA,NA,NA,1.25,0.4629100498862757,8,NA,NA,NA,0.7777777777777778,0.44095855184409843,9,554.2857142857143,356.1533912448934,7,8,9,940.625,365.0243930748773,8,933.3333333333334,369.14745193464535,8,2280,864.0105819457801,16
17_casillas_tseltal_2015_32,32,0.5431313784613786,0.3256224464446575,11,NA,NA,NA,1.125,0.3535533905932738,8,NA,NA,NA,0.8181818181818182,0.40451991747794525,11,565,254.64435984329202,9,12,11,1175,278.7443500744234,8,1087.5,347.29681738403445,8,2900,503.7005913380346,7
18_casillas_tseltal_2015_32,32,0.509107435056487,0.2781927884491921,16,NA,NA,NA,1.0714285714285714,0.2672612419124244,14,NA,NA,NA,0.6875,0.47871355387816905,16,521.8181818181819,418.9407638752329,11,17,16,897.6190476190477,375.07020099930054,14,913.0952380952382,366.96832413132194,14,2191.4285714285716,880.7239779151724,7
19_casillas_tseltal_2015_35,35,0.36348932775819565,0.3869890913625388,12,NA,NA,NA,1,0,6,NA,NA,NA,0.5,0.5222329678670935,12,652.5,239.13908087136238,6,7,12,1261.111111111111,200.46242836298572,6,1261.111111111111,200.46242836298572,6,3026.6666666666665,481.10982807116574,10
20_casillas_tseltal_2015_36,36,0.5504004294772428,0.26386714695499786,15,NA,NA,NA,1,0,14,NA,NA,NA,1,0,15,663.3333333333334,363.3262340940334,15,16,15,1000.0000000000001,417.3071999681999,14,1000.0000000000001,417.3071999681999,14,2400,1001.5372799236796,11
21_casillas_tseltal_2015_26,26,0.16025641025641027,0.29061935741088996,12,NA,NA,NA,1,0,3,NA,NA,NA,0.25,0.45226701686664544,12,815,402.33692348577705,3,4,12,1100,72.64831572567789,3,1100,72.64831572567789,3,2640,174.35595774162695,1
22_casillas_tseltal_2015_36,36,0.24910938734468147,0.26698827543638226,12,NA,NA,NA,1,0,7,NA,NA,NA,0.4166666666666667,0.5149286505444373,12,735,464.4889664997437,5,8,12,738.0952380952382,374.1303849910416,7,738.0952380952382,374.1303849910416,7,1771.4285714285713,897.9129239784997,11
23_ronfard_2021_22,22,0.5786551283221649,0.30225686928045353,13,0.15277777777777773,0.2573238023600242,6,1,0,11,NA,NA,NA,0.8461538461538461,0.3755338080994054,13,501.3636363636364,226.4849984998003,11,10,13,621.2121212121212,160.7432233046975,11,621.2121212121212,160.7432233046975,11,1242.4242424242425,321.486446609395,-3
24_ronfard_2021_19,19,0.5458555333555334,0.3431903307941068,12,0.11781609195402298,0.30109129034378895,6,1,0,9,NA,NA,NA,0.9166666666666666,0.28867513459481287,12,528.6363636363636,468.28992573560083,11,6,12,640.7407407407408,207.34952896135027,9,640.7407407407408,207.34952896135027,9,1281.4814814814815,414.69905792270055,-6
25_ronfard_2021_20,20,0.441124821845416,0.4219740254393005,10,0.07327586206896551,0.14262338612614212,8,1,0,6,NA,NA,NA,0.7,0.48304589153964794,10,475.7142857142857,502.04937150500587,7,4,10,619.4444444444445,205.05193560729023,6,619.4444444444445,205.05193560729023,6,1238.888888888889,410.10387121458047,-5
26_ronfard_2021_19,19,0.7272486772486773,0.21321986131844986,5,0.4482758620689655,0.0731489773641256,2,1,0,5,NA,NA,NA,1,0,5,490,319.66779631361055,5,3,5,650,213.1118642090737,5,650,213.1118642090737,5,1300,426.2237284181474,-6
27_ronfard_2021_19,19,0.568682500778089,0.1889418889259237,8,0.04885057471264364,0.16366702144710504,4,1,0,7,NA,NA,NA,1,0,8,552.5,205.72172605592382,8,7,8,561.9047619047619,89.08708063747477,7,561.9047619047619,89.08708063747477,7,1123.8095238095239,178.17416127494954,-6
28_ronfard_2021_18,18,0.41013435094317446,0.37337296760249955,12,-0.22629310344827588,0.18852523903990545,4,1,0,8,NA,NA,NA,0.6666666666666666,0.49236596391733095,12,546.25,395.45407896673487,8,6,12,539.5833333333334,260.941138530853,8,539.5833333333334,260.941138530853,8,1079.1666666666667,521.882277061706,-7
29_ronfard_2021_22,22,0.5011836047550333,0.3129278371277908,7,-0.13362068965517238,0.19321374108062347,4,1,0,5,NA,NA,NA,0.8571428571428571,0.3779644730092272,7,660.8333333333334,334.81960316962727,6,5,7,606.6666666666667,157.93810320642845,5,606.6666666666667,157.93810320642845,5,1213.3333333333335,315.8762064128569,-3
30_ronfard_2021_23,23,0.616828874887051,0.275272894392679,6,NA,NA,NA,1,0,5,NA,NA,NA,1,0,6,581.6666666666666,358.003724375413,6,5,6,623.3333333333334,172.64285550104748,5,623.3333333333334,172.64285550104748,5,1246.6666666666667,345.28571100209496,-2
