recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
108_pomper_saffran_2016_46,1,orange,46,108,orange,neither,87,15,0.8529411764705882,NA,2,NA,NA,NA,2,725,750,1500,21
108_pomper_saffran_2016_46,2,red,46,108,red,target,87,17,0.8365384615384616,NA,1,NA,1,NA,1,1450,1450,2900,21
108_pomper_saffran_2016_46,3,yellow,46,108,yellow,target,106,0,1,0.6603773584905661,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,21
108_pomper_saffran_2016_46,4,white,46,108,white,distractor,77,22,0.7777777777777778,0.5754716981132075,1,1,NA,615,1,1283.3333333333335,1283.3333333333335,2566.666666666667,21
108_pomper_saffran_2016_46,5,red,46,108,red,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,21
108_pomper_saffran_2016_46,6,black,46,108,black,distractor,69,36,0.6571428571428571,0.6509433962264151,1,1,NA,940,1,1150,1150,2300,21
108_pomper_saffran_2016_46,7,orange,46,108,orange,target,59,0,1,NA,1,NA,1,NA,0,983.3333333333334,983.3333333333334,1966.6666666666667,21
108_pomper_saffran_2016_46,8,brown,46,108,brown,neither,83,16,0.8383838383838383,0.5754716981132075,1,NA,NA,NA,1,1316.6666666666667,1316.6666666666667,2633.3333333333335,21
109_pomper_saffran_2016_43,9,green,43,109,green,distractor,88,9,0.9072164948453608,NA,2,1,NA,140,0,733.3333333333334,500.00000000000006,1933.3333333333335,18
109_pomper_saffran_2016_43,10,blue,43,109,blue,target,86,14,0.86,NA,1,NA,0,NA,1,1433.3333333333335,1433.3333333333335,2866.666666666667,18
109_pomper_saffran_2016_43,11,black,43,109,black,target,106,0,1,0.7641509433962264,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
109_pomper_saffran_2016_43,12,brown,43,109,brown,distractor,86,17,0.8349514563106796,0.3584905660377359,1,1,NA,515,1,1433.3333333333335,1433.3333333333335,2866.666666666667,18
109_pomper_saffran_2016_43,13,yellow,43,109,yellow,target,77,25,0.7549019607843137,0.7264150943396226,1,NA,1,NA,1,1283.3333333333335,1283.3333333333335,2566.666666666667,18
