recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
108_pomper_saffran_2016_46,4,white,46,108,white,distractor,77,22,0.7777777777777778,NA,1,1,NA,615,1,1283.3333333333335,1283.3333333333335,2566.666666666667,21
108_pomper_saffran_2016_46,5,red,46,108,red,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,21
108_pomper_saffran_2016_46,6,black,46,108,black,distractor,69,36,0.6571428571428571,NA,1,1,NA,940,1,1150,1150,2300,21
109_pomper_saffran_2016_43,9,green,43,109,green,distractor,88,9,0.9072164948453608,NA,2,1,NA,140,0,733.3333333333334,500.00000000000006,1933.3333333333335,18
109_pomper_saffran_2016_43,12,brown,43,109,brown,distractor,86,17,0.8349514563106796,0.3584905660377359,1,1,NA,515,1,1433.3333333333335,1433.3333333333335,2866.666666666667,18
109_pomper_saffran_2016_43,14,green,43,109,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,1516.6666666666667,1516.6666666666667,3033.3333333333335,18
109_pomper_saffran_2016_43,15,white,43,109,white,distractor,54,48,0.5294117647058824,0.34905660377358494,1,1,NA,540,2,900.0000000000001,900.0000000000001,1800.0000000000002,18
109_pomper_saffran_2016_43,16,blue,43,109,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,18
110_pomper_saffran_2016_47,3,black,47,110,black,distractor,70,33,0.6796116504854369,0.660377358490566,1,1,NA,915,1,1166.6666666666667,1166.6666666666667,2333.3333333333335,22
110_pomper_saffran_2016_47,4,brown,47,110,brown,distractor,98,4,0.9607843137254902,NA,1,1,NA,215,0,1633.3333333333335,1633.3333333333335,3266.666666666667,22
110_pomper_saffran_2016_47,6,yellow,47,110,yellow,distractor,103,0,1,0.6603773584905661,1,1,NA,90,0,1716.6666666666667,1716.6666666666667,3433.3333333333335,22
110_pomper_saffran_2016_47,7,blue,47,110,blue,distractor,105,0,1,NA,1,1,NA,40,0,1750.0000000000002,1750.0000000000002,3500.0000000000005,22
111_pomper_saffran_2016_42,9,red,42,111,red,distractor,86,17,0.8349514563106796,NA,1,1,NA,515,1,1433.3333333333335,1433.3333333333335,2866.666666666667,17
111_pomper_saffran_2016_42,13,black,42,111,black,distractor,68,26,0.723404255319149,NA,1,1,NA,340,1,1133.3333333333335,1133.3333333333335,2266.666666666667,17
112_pomper_saffran_2016_43,3,yellow,43,112,yellow,distractor,61,0,1,NA,1,1,NA,90,0,1016.6666666666667,1016.6666666666667,2033.3333333333335,18
112_pomper_saffran_2016_43,4,white,43,112,white,distractor,45,33,0.5769230769230769,0.28301886792452835,1,1,NA,115,1,750,750,1500,18
112_pomper_saffran_2016_43,8,brown,43,112,brown,distractor,75,15,0.8333333333333334,0.3962264150943396,1,1,NA,140,1,1250,1250,2500,18
113_pomper_saffran_2016_42,1,green,42,113,green,distractor,87,16,0.8446601941747572,NA,1,1,NA,490,1,1450,1450,2900,17
113_pomper_saffran_2016_42,3,black,42,113,black,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,1383.3333333333335,1383.3333333333335,2766.666666666667,17
113_pomper_saffran_2016_42,4,brown,42,113,brown,distractor,40,34,0.5405405405405406,NA,1,1,NA,190,1,666.6666666666667,666.6666666666667,1333.3333333333335,17
114_pomper_saffran_2016_42,10,blue,42,114,blue,distractor,41,63,0.3942307692307692,NA,1,0,NA,NA,1,683.3333333333334,683.3333333333334,1366.6666666666667,17
114_pomper_saffran_2016_42,13,yellow,42,114,yellow,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,1516.6666666666667,1516.6666666666667,3033.3333333333335,17
114_pomper_saffran_2016_42,14,green,42,114,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,1516.6666666666667,1516.6666666666667,3033.3333333333335,17
114_pomper_saffran_2016_42,15,white,42,114,white,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,1483.3333333333335,1483.3333333333335,2966.666666666667,17
115_pomper_saffran_2016_42,9,orange,42,115,orange,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,1483.3333333333335,1483.3333333333335,2966.666666666667,17
115_pomper_saffran_2016_42,10,red,42,115,red,distractor,82,21,0.7961165048543689,NA,1,1,NA,615,1,1366.6666666666667,1366.6666666666667,2733.3333333333335,17
115_pomper_saffran_2016_42,11,yellow,42,115,yellow,distractor,82,21,0.7961165048543689,0.339622641509434,1,1,NA,615,1,1366.6666666666667,1366.6666666666667,2733.3333333333335,17
115_pomper_saffran_2016_42,12,white,42,115,white,distractor,66,32,0.673469387755102,NA,1,1,NA,340,1,1100,1100,2200,17
115_pomper_saffran_2016_42,14,black,42,115,black,distractor,51,46,0.5257731958762887,0.2830188679245283,1,1,NA,815,2,850.0000000000001,850.0000000000001,1700.0000000000002,17
116_pomper_saffran_2016_45,2,orange,45,116,orange,distractor,96,1,0.9896907216494846,NA,1,1,NA,115,0,1600,1600,3200,20
116_pomper_saffran_2016_45,3,yellow,45,116,yellow,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,20
116_pomper_saffran_2016_45,4,white,45,116,white,distractor,101,0,1,0.6415094339622642,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,20
116_pomper_saffran_2016_45,7,brown,45,116,brown,distractor,61,33,0.648936170212766,0.5754716981132075,2,1,NA,490,3,508.33333333333337,766.6666666666667,1533.3333333333335,20
117_pomper_saffran_2016_43,9,blue,43,117,blue,distractor,99,4,0.9611650485436893,NA,1,1,NA,190,0,1650.0000000000002,1650.0000000000002,3300.0000000000005,18
117_pomper_saffran_2016_43,10,green,43,117,green,distractor,102,1,0.9902912621359223,NA,1,1,NA,115,0,1700.0000000000002,1700.0000000000002,3400.0000000000005,18
117_pomper_saffran_2016_43,11,black,43,117,black,distractor,93,11,0.8942307692307693,NA,1,1,NA,340,0,1550,1550,3100,18
117_pomper_saffran_2016_43,12,brown,43,117,brown,distractor,99,4,0.9611650485436893,NA,1,1,NA,190,0,1650.0000000000002,1650.0000000000002,3300.0000000000005,18
118_pomper_saffran_2016_42,14,red,42,118,red,distractor,93,9,0.9117647058823529,NA,1,1,NA,340,0,1550,1550,3100,17
119_pomper_saffran_2016_43,3,red,43,119,red,distractor,50,50,0.5,0.4056603773584906,1,1,NA,290,1,833.3333333333334,833.3333333333334,1666.6666666666667,18
119_pomper_saffran_2016_43,4,blue,43,119,blue,distractor,94,9,0.912621359223301,NA,1,1,NA,315,0,1566.6666666666667,1566.6666666666667,3133.3333333333335,18
119_pomper_saffran_2016_43,5,brown,43,119,brown,distractor,90,13,0.8737864077669902,NA,1,1,NA,415,1,1500,1500,3000,18
119_pomper_saffran_2016_43,8,green,43,119,green,distractor,97,7,0.9326923076923077,0.44339622641509435,1,1,NA,240,0,1616.6666666666667,1616.6666666666667,3233.3333333333335,18
120_pomper_saffran_2016_42,9,yellow,42,120,yellow,distractor,71,8,0.8987341772151899,NA,2,1,NA,290,0,591.6666666666667,366.6666666666667,1633.3333333333335,17
120_pomper_saffran_2016_42,13,white,42,120,white,distractor,62,33,0.6526315789473685,NA,1,1,NA,990,1,1033.3333333333335,1033.3333333333335,2066.666666666667,17
120_pomper_saffran_2016_42,15,green,42,120,green,distractor,32,67,0.32323232323232326,NA,1,1,NA,640,2,533.3333333333334,533.3333333333334,1066.6666666666667,17
120_pomper_saffran_2016_42,16,yellow,42,120,yellow,distractor,22,55,0.2857142857142857,NA,1,0,NA,NA,1,366.6666666666667,366.6666666666667,733.3333333333334,17
121_pomper_saffran_2016_42,1,green,42,121,green,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,17
121_pomper_saffran_2016_42,3,black,42,121,black,distractor,93,11,0.8942307692307693,NA,1,1,NA,340,0,1550,1550,3100,17
121_pomper_saffran_2016_42,4,brown,42,121,brown,distractor,102,1,0.9902912621359223,NA,1,1,NA,115,0,1700.0000000000002,1700.0000000000002,3400.0000000000005,17
121_pomper_saffran_2016_42,6,green,42,121,green,distractor,95,8,0.9223300970873787,NA,1,1,NA,290,0,1583.3333333333335,1583.3333333333335,3166.666666666667,17
122_pomper_saffran_2016_44,1,brown,44,122,brown,distractor,69,23,0.75,NA,2,1,NA,240,0,575,333.33333333333337,1633.3333333333335,19
122_pomper_saffran_2016_44,3,green,44,122,green,distractor,56,43,0.5656565656565656,NA,1,1,NA,715,2,933.3333333333334,933.3333333333334,1866.6666666666667,19
122_pomper_saffran_2016_44,6,orange,44,122,orange,distractor,38,64,0.37254901960784315,NA,1,1,NA,1040,2,633.3333333333334,633.3333333333334,1266.6666666666667,19
122_pomper_saffran_2016_44,7,yellow,44,122,yellow,distractor,82,20,0.803921568627451,NA,1,1,NA,615,1,1366.6666666666667,1366.6666666666667,2733.3333333333335,19
123_pomper_saffran_2016_43,9,black,43,123,black,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,1383.3333333333335,1383.3333333333335,2766.666666666667,18
123_pomper_saffran_2016_43,12,blue,43,123,blue,distractor,74,29,0.7184466019417476,NA,1,1,NA,815,1,1233.3333333333335,1233.3333333333335,2466.666666666667,18
123_pomper_saffran_2016_43,15,red,43,123,red,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,1316.6666666666667,1316.6666666666667,2633.3333333333335,18
124_pomper_saffran_2016_42,2,brown,42,124,brown,distractor,59,37,0.6145833333333334,NA,2,1,NA,190,2,491.66666666666674,566.6666666666667,1133.3333333333335,17
124_pomper_saffran_2016_42,3,red,42,124,red,distractor,62,7,0.8985507246376812,NA,2,1,NA,240,0,516.6666666666667,666.6666666666667,1333.3333333333335,17
124_pomper_saffran_2016_42,8,yellow,42,124,yellow,distractor,94,9,0.912621359223301,NA,1,1,NA,315,0,1566.6666666666667,1566.6666666666667,3133.3333333333335,17
125_pomper_saffran_2016_43,10,black,43,125,black,distractor,77,27,0.7403846153846154,NA,1,1,NA,740,1,1283.3333333333335,1283.3333333333335,2566.666666666667,18
125_pomper_saffran_2016_43,12,blue,43,125,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,1683.3333333333335,1683.3333333333335,3366.666666666667,18
125_pomper_saffran_2016_43,13,brown,43,125,brown,distractor,103,0,1,NA,1,1,NA,90,0,1716.6666666666667,1716.6666666666667,3433.3333333333335,18
125_pomper_saffran_2016_43,14,blue,43,125,blue,distractor,102,0,1,NA,1,1,NA,115,0,1700.0000000000002,1700.0000000000002,3400.0000000000005,18
125_pomper_saffran_2016_43,16,green,43,125,green,distractor,97,7,0.9326923076923077,NA,1,1,NA,240,0,1616.6666666666667,1616.6666666666667,3233.3333333333335,18
