recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
108_pomper_saffran_2016_46,2,red,46,108,red,target,87,17,0.8365384615384616,NA,1,NA,1,NA,1,1450,1450,2900,21
108_pomper_saffran_2016_46,3,yellow,46,108,yellow,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,21
108_pomper_saffran_2016_46,7,orange,46,108,orange,target,59,0,1,NA,1,NA,1,NA,0,983.3333333333334,983.3333333333334,1966.6666666666667,21
109_pomper_saffran_2016_43,10,blue,43,109,blue,target,86,14,0.86,NA,1,NA,0,NA,1,1433.3333333333335,1433.3333333333335,2866.666666666667,18
109_pomper_saffran_2016_43,11,black,43,109,black,target,106,0,1,0.7641509433962264,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
109_pomper_saffran_2016_43,13,yellow,43,109,yellow,target,77,25,0.7549019607843137,0.7264150943396226,1,NA,1,NA,1,1283.3333333333335,1283.3333333333335,2566.666666666667,18
110_pomper_saffran_2016_47,1,blue,47,110,blue,target,56,34,0.6222222222222222,NA,1,NA,0,NA,1,933.3333333333334,933.3333333333334,1866.6666666666667,22
110_pomper_saffran_2016_47,2,green,47,110,green,target,58,0,1,NA,2,NA,1,NA,0,483.33333333333337,350,1233.3333333333335,22
110_pomper_saffran_2016_47,5,green,47,110,green,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,22
110_pomper_saffran_2016_47,8,white,47,110,white,target,53,49,0.5196078431372549,NA,1,NA,0,NA,1,883.3333333333334,883.3333333333334,1766.6666666666667,22
111_pomper_saffran_2016_42,10,orange,42,111,orange,target,82,18,0.82,NA,1,NA,0,NA,1,1300,1300,2600,17
111_pomper_saffran_2016_42,12,white,42,111,white,target,53,44,0.5463917525773195,0.39622641509433965,2,NA,0,NA,1,441.6666666666667,400,966.6666666666667,17
111_pomper_saffran_2016_42,14,red,42,111,red,target,79,21,0.79,NA,2,NA,0,NA,2,658.3333333333334,333.33333333333337,1966.6666666666667,17
111_pomper_saffran_2016_42,15,brown,42,111,brown,target,90,11,0.8910891089108911,0.4339622641509434,1,NA,0,NA,0,1383.3333333333335,1383.3333333333335,2766.666666666667,17
112_pomper_saffran_2016_43,1,orange,43,112,orange,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
112_pomper_saffran_2016_43,5,red,43,112,red,target,97,4,0.9603960396039604,NA,1,NA,0,NA,0,1616.6666666666667,1616.6666666666667,3233.3333333333335,18
112_pomper_saffran_2016_43,7,orange,43,112,orange,target,96,0,1,NA,1,NA,1,NA,0,1600,1600,3200,18
113_pomper_saffran_2016_42,5,yellow,42,113,yellow,target,77,7,0.9166666666666666,NA,1,NA,0,NA,0,1283.3333333333335,1283.3333333333335,2566.666666666667,17
113_pomper_saffran_2016_42,7,white,42,113,white,target,51,53,0.49038461538461536,NA,1,NA,0,NA,1,850.0000000000001,850.0000000000001,1700.0000000000002,17
113_pomper_saffran_2016_42,8,blue,42,113,blue,target,57,41,0.5816326530612245,NA,2,NA,0,NA,2,475,300,1300,17
114_pomper_saffran_2016_42,9,green,42,114,green,target,47,53,0.47,NA,1,NA,0,NA,1,650,650,1300,17
114_pomper_saffran_2016_42,11,black,42,114,black,target,103,0,1,NA,1,NA,1,NA,0,1716.6666666666667,1716.6666666666667,3433.3333333333335,17
114_pomper_saffran_2016_42,12,brown,42,114,brown,target,83,17,0.83,NA,1,NA,0,NA,1,1233.3333333333335,1233.3333333333335,2466.666666666667,17
114_pomper_saffran_2016_42,16,blue,42,114,blue,target,80,20,0.8,NA,1,NA,0,NA,1,1183.3333333333335,1183.3333333333335,2366.666666666667,17
115_pomper_saffran_2016_42,13,red,42,115,red,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,17
