recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
0_casillas_tseltal_2015_14,1,wa,14,0,tortilla,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,2,moch,14,0,basket-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,3,pelota,14,0,ball,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,4,chojak',14,0,purse-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,5,baso,14,0,cup,distractor,27,76,0.2621359223300971,NA,1,1,NA,490,2,450.00000000000006,450.00000000000006,1080,-11
0_casillas_tseltal_2015_14,6,nichim,14,0,flower,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,7,balti,14,0,bucket,distractor,15,86,0.1485148514851485,NA,1,0,NA,NA,1,250.00000000000003,250.00000000000003,600,-11
0_casillas_tseltal_2015_14,8,mut,14,0,chicken,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,9,k'ajk',14,0,fire,target,13,93,0.12264150943396226,NA,1,NA,0,NA,1,216.66666666666669,216.66666666666669,520,-11
0_casillas_tseltal_2015_14,10,mexa,14,0,table,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,11,xawin,14,0,cat,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,12,ja',14,0,water,distractor,96,8,0.9230769230769231,NA,1,1,NA,215,0,1600,1600,3840,-11
0_casillas_tseltal_2015_14,13,ixim,14,0,corn,target,96,8,0.9230769230769231,NA,2,NA,0,NA,0,800,666.6666666666667,2240,-11
0_casillas_tseltal_2015_14,14,karo,14,0,car,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,15,na,14,0,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,16,te,14,0,tree,target,16,88,0.15384615384615385,NA,1,NA,0,NA,1,266.6666666666667,266.6666666666667,640,-11
0_casillas_tseltal_2015_14,17,waybal,14,0,bed,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,18,t'inel,14,0,doorway,distractor,22,80,0.21568627450980393,NA,1,1,NA,615,2,366.6666666666667,366.6666666666667,880,-11
0_casillas_tseltal_2015_14,19,lo'bal,14,0,banana,target,35,69,0.33653846153846156,NA,1,NA,0,NA,1,583.3333333333334,583.3333333333334,1400,-11
