recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
0_casillas_tseltal_2015_14,1,wa,14,0,tortilla,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,2,moch,14,0,basket-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,3,pelota,14,0,ball,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,4,chojak',14,0,purse-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,5,baso,14,0,cup,distractor,27,76,0.2621359223300971,NA,1,1,NA,490,2,450.00000000000006,450.00000000000006,1080,-11
0_casillas_tseltal_2015_14,7,balti,14,0,bucket,distractor,15,86,0.1485148514851485,NA,1,0,NA,NA,1,250.00000000000003,250.00000000000003,600,-11
0_casillas_tseltal_2015_14,11,xawin,14,0,cat,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,12,ja',14,0,water,distractor,96,8,0.9230769230769231,NA,1,1,NA,215,0,1600,1600,3840,-11
0_casillas_tseltal_2015_14,15,na,14,0,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,18,t'inel,14,0,doorway,distractor,22,80,0.21568627450980393,NA,1,1,NA,615,2,366.6666666666667,366.6666666666667,880,-11
0_casillas_tseltal_2015_14,21,tz'i,14,0,dog,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,22,tomut,14,0,egg,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,27,mes,14,0,broom,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,28,machit,14,0,machete,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11
0_casillas_tseltal_2015_14,29,si',14,0,firewood,distractor,69,35,0.6634615384615384,NA,1,1,NA,940,1,1150,1150,2760,-11
1_casillas_tseltal_2015_22,2,moch,22,1,basket-tseltal,distractor,35,66,0.3465346534653465,NA,1,1,NA,415,2,583.3333333333334,583.3333333333334,1400,-3
1_casillas_tseltal_2015_22,5,baso,22,1,cup,distractor,70,32,0.6862745098039216,NA,1,1,NA,540,2,1166.6666666666667,1166.6666666666667,2800,-3
1_casillas_tseltal_2015_22,7,balti,22,1,bucket,distractor,5,98,0.04854368932038835,NA,NA,0,NA,NA,0,NA,NA,NA,-3
1_casillas_tseltal_2015_22,8,mut,22,1,chicken,distractor,48,54,0.47058823529411764,NA,1,0,NA,NA,1,800,800,1920,-3
