recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
0_casillas_tseltal_2015_14,6,nichim,14,0,flower,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,8,mut,14,0,chicken,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,9,k'ajk',14,0,fire,target,13,93,0.12264150943396226,NA,1,NA,0,NA,1,216.66666666666669,216.66666666666669,520,-11
0_casillas_tseltal_2015_14,10,mexa,14,0,table,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,13,ixim,14,0,corn,target,96,8,0.9230769230769231,NA,2,NA,0,NA,0,800,666.6666666666667,2240,-11
0_casillas_tseltal_2015_14,14,karo,14,0,car,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,16,te,14,0,tree,target,16,88,0.15384615384615385,NA,1,NA,0,NA,1,266.6666666666667,266.6666666666667,640,-11
0_casillas_tseltal_2015_14,17,waybal,14,0,bed,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,19,lo'bal,14,0,banana,target,35,69,0.33653846153846156,NA,1,NA,0,NA,1,583.3333333333334,583.3333333333334,1400,-11
0_casillas_tseltal_2015_14,20,chenek',14,0,bean,target,70,34,0.6730769230769231,NA,1,NA,1,NA,1,1166.6666666666667,1166.6666666666667,2800,-11
0_casillas_tseltal_2015_14,23,p'in,14,0,pot-tseltal,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,24,tzek',14,0,skirt-tseltal,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-11
0_casillas_tseltal_2015_14,25,ich,14,0,chile,target,38,66,0.36538461538461536,NA,1,NA,0,NA,1,633.3333333333334,633.3333333333334,1520,-11
0_casillas_tseltal_2015_14,26,xila,14,0,chair,target,40,64,0.38461538461538464,NA,1,NA,0,NA,1,666.6666666666667,666.6666666666667,1600,-11
1_casillas_tseltal_2015_22,1,wa,22,1,tortilla,target,70,35,0.6666666666666666,NA,2,NA,0,NA,2,583.3333333333334,300,2080,-3
1_casillas_tseltal_2015_22,3,pelota,22,1,ball,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
1_casillas_tseltal_2015_22,4,chojak',22,1,purse-tseltal,target,27,76,0.2621359223300971,NA,1,NA,0,NA,1,450.00000000000006,450.00000000000006,1080,-3
1_casillas_tseltal_2015_22,6,nichim,22,1,flower,target,64,40,0.6153846153846154,NA,1,NA,1,NA,1,1066.6666666666667,1066.6666666666667,2560,-3
1_casillas_tseltal_2015_22,9,k'ajk',22,1,fire,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
1_casillas_tseltal_2015_22,14,karo,22,1,car,target,77,24,0.7623762376237624,NA,2,NA,0,NA,2,641.6666666666667,400,2120,-3
1_casillas_tseltal_2015_22,19,lo'bal,22,1,banana,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
1_casillas_tseltal_2015_22,21,tz'i,22,1,dog,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
1_casillas_tseltal_2015_22,23,p'in,22,1,pot-tseltal,target,41,58,0.41414141414141414,NA,1,NA,0,NA,1,516.6666666666667,516.6666666666667,1240,-3
1_casillas_tseltal_2015_22,24,tzek',22,1,skirt-tseltal,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
1_casillas_tseltal_2015_22,27,mes,22,1,broom,target,40,64,0.38461538461538464,NA,1,NA,0,NA,1,666.6666666666667,666.6666666666667,1600,-3
2_casillas_tseltal_2015_45,1,wa,45,2,tortilla,target,37,55,0.40217391304347827,NA,1,NA,0,NA,3,266.6666666666667,266.6666666666667,640,20
2_casillas_tseltal_2015_45,3,pelota,45,2,ball,target,74,17,0.8131868131868132,NA,2,NA,1,NA,2,616.6666666666667,933.3333333333334,2240,20
2_casillas_tseltal_2015_45,6,nichim,45,2,flower,target,85,17,0.8333333333333334,NA,2,NA,1,NA,2,708.3333333333335,900.0000000000001,2160,20
2_casillas_tseltal_2015_45,8,mut,45,2,chicken,target,62,38,0.62,NA,2,NA,0,NA,2,516.6666666666667,633.3333333333334,1520,20
2_casillas_tseltal_2015_45,10,mexa,45,2,table,target,82,16,0.8367346938775511,NA,1,NA,0,NA,0,1366.6666666666667,1366.6666666666667,3280,20
2_casillas_tseltal_2015_45,11,xawin,45,2,cat,target,46,50,0.4791666666666667,NA,2,NA,0,NA,2,383.33333333333337,416.6666666666667,1000,20
2_casillas_tseltal_2015_45,12,ja',45,2,water,target,44,60,0.4230769230769231,NA,2,NA,0,NA,3,366.6666666666667,300,1040,20
2_casillas_tseltal_2015_45,14,karo,45,2,car,target,75,24,0.7575757575757576,NA,1,NA,1,NA,1,1116.6666666666667,1116.6666666666667,2680,20
2_casillas_tseltal_2015_45,15,na,45,2,house,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,20
2_casillas_tseltal_2015_45,17,waybal,45,2,bed,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,20
2_casillas_tseltal_2015_45,18,t'inel,45,2,doorway,target,78,24,0.7647058823529411,NA,2,NA,1,NA,2,650,1100,2640,20
2_casillas_tseltal_2015_45,20,chenek',45,2,bean,target,91,13,0.875,NA,1,NA,0,NA,1,1333.3333333333335,1333.3333333333335,3200,20
2_casillas_tseltal_2015_45,21,tz'i,45,2,dog,target,56,45,0.5544554455445545,NA,2,NA,0,NA,2,466.66666666666674,366.6666666666667,1360,20
2_casillas_tseltal_2015_45,23,p'in,45,2,pot-tseltal,target,94,10,0.9038461538461539,NA,1,NA,1,NA,0,1566.6666666666667,1566.6666666666667,3760,20
2_casillas_tseltal_2015_45,24,tzek',45,2,skirt-tseltal,target,64,36,0.64,NA,1,NA,0,NA,2,1066.6666666666667,1066.6666666666667,2560,20
2_casillas_tseltal_2015_45,27,mes,45,2,broom,target,50,49,0.5050505050505051,NA,2,NA,0,NA,2,416.66666666666674,316.6666666666667,1240,20
2_casillas_tseltal_2015_45,28,machit,45,2,machete,target,94,10,0.9038461538461539,NA,1,NA,1,NA,0,1566.6666666666667,1566.6666666666667,3760,20
3_casillas_tseltal_2015_22,2,moch,22,3,basket-tseltal,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,3,pelota,22,3,ball,target,74,28,0.7254901960784313,NA,2,NA,0,NA,2,616.6666666666667,533.3333333333334,1680,-3
3_casillas_tseltal_2015_22,6,nichim,22,3,flower,target,89,11,0.89,NA,2,NA,0,NA,0,741.6666666666667,566.6666666666667,2200,-3
3_casillas_tseltal_2015_22,8,mut,22,3,chicken,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,9,k'ajk',22,3,fire,target,10,93,0.0970873786407767,NA,NA,NA,0,NA,0,NA,NA,NA,-3
3_casillas_tseltal_2015_22,10,mexa,22,3,table,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,12,ja',22,3,water,target,98,0,1,NA,2,NA,1,NA,0,816.6666666666667,833.3333333333334,2000,-3
3_casillas_tseltal_2015_22,14,karo,22,3,car,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
