variable,MR1,MR2
mean_prop_looking,0.7445284502850328,0.37180403470937784
mean_prop_looking_diff,0.7171346715833083,0.46599091859120745
mean_number_fixations,0.4062869232534168,-0.5991503963809837
mean_prop_shift_target_initial,-0.05626371034138429,0.4321801066267689
prop_shift_distractor_initial,0.6154747255743864,5.039190249128333e-4
mean_RT,-0.46621424297298075,-0.0940876785859267
total_aoi_switches,0.2430717325903082,-0.38805040660412055
mean_duration_of_look,0.0714319502297851,0.9375151141996667
mean_peak_pupil_size_difference,0.7550116694109323,-0.3394858133977573
mean_mean_pupil_size_difference,0.7549526891681341,-0.2808142471961106
mean_peak_pupil_latency,0.3507120373306697,-0.09924347022782279
mean_first_look_dur,0.0013979359581372044,0.8655046603845508
