recording_name,age_months,exp_to_target_lang,initial_look,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,subject_id,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,exp_to_target_lang_centred,age_months_centred
CompMix36_S01_88272000_F1,46,65,neither,0.8741258741258742,NA,1,NA,NA,NA,1,NA,1,1,1,1883.3333333333335,NA,1,0.04499999999999993,NA,1,0.013804347826086971,NA,1,399,NA,1,1883.3333333333335,NA,1,88272000,1,0,2,0.6666666666666666,0.5773502691896257,3,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,target,0.7236286919831224,0.47868914723949985,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,1,3,1388.888888888889,1197.7216024757327,3,-0.056666666666666345,0.19015344680897397,3,-0.03552777777777768,0.12723950331443343,3,266.3333333333333,76.48747174102,3,1711.1111111111113,1269.5508100345016,3,88272000,1,0,2,0.6666666666666666,0.5773502691896257,3,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,distractor,0.7667004048582996,0.05081435370874994,2,NA,NA,NA,1,0,2,2,2,1883.3333333333335,23.57022603955169,2,0.002500000000000391,0.01767766952966394,2,-0.03916666666666657,0.07236059394142325,2,108,59.39696961966999,2,1750,47.14045207910322,2,88272000,1,0,2,0.6666666666666666,0.5773502691896257,3,0.15000000000000002,21
CompMix36_S04_82812000_F1,39,70,target,0.7722545889655821,0.1824919875573573,5,0.6540880503144655,0.12399138853351152,4,1.8,0.8366600265340756,5,7,5,1225,595.9353059593708,5,0.04200000000000008,0.06088924371348362,5,0.03245000000000005,0.05321065317312981,5,406.4,139.48942612255595,5,1093.3333333333335,817.397632054858,5,82812000,1,0,2,0.2,0.44721359549995793,5,0.19999999999999996,14
CompMix36_S04_82812000_F1,39,70,distractor,0.8400212596332713,0.01277790622393976,2,NA,NA,NA,1.5,0.7071067811865476,2,2,2,1579.1666666666667,948.7015980919512,2,0.12499999999999978,0.014142135623730963,2,0.0641666666666667,0.044194173824159536,2,624,35.35533905932738,2,1741.6666666666667,718.8918942063232,2,82812000,1,0,2,0.2,0.44721359549995793,5,0.19999999999999996,14
CompMix36_S21_503484000_F1,37,50,target,0.8629969418960245,0.11877575058545646,3,0.46226415094339623,0.13786358626907527,2,3,2,3,3,3,756.2962962962963,434.8780634168068,3,0.09666666666666639,0.06658328118479405,3,0.07386111111111093,0.060555147806986016,3,227.66666666666666,134.8937853769896,3,811.1111111111111,263.69876191790706,3,503484000,1,NA,1,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S21_503484000_F1,37,50,distractor,0.7272727272727273,NA,1,NA,NA,NA,2,NA,1,1,1,566.6666666666667,NA,1,0.08000000000000007,NA,1,0.07383333333333342,NA,1,384,NA,1,583.3333333333334,NA,1,503484000,1,NA,1,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S21_503484000_F1,37,50,neither,0.46153846153846156,NA,1,NA,NA,NA,1,NA,1,2,1,550,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,1,503484000,1,NA,1,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S25_93468000_F1,37,90,distractor,0.822332794945273,0.07028982197667002,3,0.4528301886792453,0.13341637380878252,2,3.3333333333333335,0.5773502691896257,3,2,3,491.6666666666667,150.69284433354267,3,0.11166666666666665,0.15011106998930285,3,0.07697222222222229,0.2284229953722145,3,283.3333333333333,216.50019245564965,3,594.4444444444445,216.8802366215904,3,93468000,1,0,3,0.75,0.5,4,0.4,12
CompMix36_S25_93468000_F1,37,90,target,0.8318548387096774,0.23205029162344346,4,0.6698113207547169,0.18233571087200287,2,2,0,4,3,4,868.7500000000001,235.24760399456827,4,0.1612499999999999,0.1143368561167688,4,0.11076190476190484,0.07298141958012644,4,366.5,300.5555966317491,4,1083.3333333333335,533.8539126015655,4,93468000,1,0,3,0.75,0.5,4,0.4,12
