recording_name,age_months,exp_to_target_lang,initial_look,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,subject_id,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,exp_to_target_lang_centred,age_months_centred
CompMix36_S01_88272000_F1,46,65,target,0.6738332518653543,0.35032870093975027,7,0.7704402515723271,0.013341637380878252,2,1.7142857142857142,0.7559289460184544,7,7,7,1023.8095238095239,758.4009214603827,7,0.04357142857142841,0.09099973835650493,7,0.016174466338259412,0.060279250075802045,7,466.42857142857144,261.7536100628841,7,1059.5238095238096,802.5917013983131,7,88272000,0.8333333333333334,0.408248290463863,6,0.5714285714285714,0.5345224838248488,7,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,distractor,0.41719643061278533,0.32923981280209225,6,-0.28301886792452835,5.551115123125783e-17,2,1.2,0.44721359549995793,5,7,6,946.6666666666667,543.573566522713,5,0.02416666666666667,0.08077231373847514,6,-0.032374999999999966,0.1047438906995959,6,319.1666666666667,256.9859269817448,6,973.3333333333334,684.2067588740183,5,88272000,0.8333333333333334,0.408248290463863,6,0.5714285714285714,0.5345224838248488,7,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,neither,0.5859872611464968,NA,1,NA,NA,NA,1,NA,1,1,1,1533.3333333333335,NA,1,0.16999999999999993,NA,1,0.13811538461538486,NA,1,683,NA,1,1533.3333333333335,NA,1,88272000,0.8333333333333334,0.408248290463863,6,0.5714285714285714,0.5345224838248488,7,0.15000000000000002,21
CompMix36_S04_82812000_F1,39,70,distractor,0.7055729416496571,0.19337454256982542,10,0.4224318658280923,0.26967616695767876,6,1.2,0.4216370213557839,10,15,10,1549.1666666666667,503.54376886274133,10,0.023500000000000076,0.07023966907034142,10,0.0167333333333334,0.04271551746261269,10,396.4,233.46957926985786,10,1488.3333333333335,580.657885718358,10,82812000,1,0,10,1,0,5,0.19999999999999996,14
CompMix36_S04_82812000_F1,39,70,target,0.8950861951947876,0.15519570338300825,5,NA,NA,NA,1.4,0.8944271909999159,5,2,5,1801.111111111111,832.7257043981722,5,0.08999999999999986,0.06928203230275515,5,0.05169285714285712,0.062458902814701574,5,519.8,194.62707930809628,5,1696.6666666666667,1012.5874447835769,5,82812000,1,0,10,1,0,5,0.19999999999999996,14
CompMix36_S21_503484000_F1,37,50,distractor,0.8828704611020964,0.06655475603815787,6,0.6729559748427674,0.06226097444409859,2,1.8333333333333333,0.752772652709081,6,4,6,1197.2222222222222,824.2617347708235,6,0.06916666666666667,0.1351449838753427,6,0.007666666666666784,0.09182590714075314,6,433,210.72446464518544,6,1072.2222222222222,702.5878091951422,6,503484000,1,0,6,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S21_503484000_F1,37,50,target,0.7330430886707184,0.15128327322710344,3,0.3584905660377359,0.017788849841171003,2,2,1,3,3,3,613.8888888888889,377.8900976817544,3,0.125,0.03122498999199175,3,0.15002777777777773,0.0190325622533048,3,233.33333333333334,116.92875323603401,3,616.6666666666667,417.66546953805556,3,503484000,1,0,6,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S21_503484000_F1,37,50,neither,0.881820312957862,0.15687268215843325,4,NA,NA,NA,2.75,0.5,4,5,4,664.5833333333334,149.71466345243175,4,0.15000000000000013,0.23039820601153388,4,0.06356896551724134,0.1061985298459702,4,358.25,169.97328221419585,4,616.6666666666667,308.2207001484488,4,503484000,1,0,6,0.3333333333333333,0.5773502691896257,3,0,12
CompMix36_S25_93468000_F1,37,90,target,0.9250203342756534,0.131784550572978,10,0.6425576519916142,0.07969490760764152,6,2.3,0.48304589153964794,10,3,10,801.1111111111112,205.6773079531593,10,0.1600000000000001,0.14035668847618193,10,0.10833333333333331,0.10308892840889267,10,413.1,210.0198138800771,10,888.3333333333334,452.9771203989648,10,93468000,1,0,3,1,0,10,0.4,12
CompMix36_S25_93468000_F1,37,90,distractor,0.825979264593126,0.12422603310285792,3,NA,NA,NA,3,1,3,2,3,557.4074074074074,285.7378003257172,3,0.07166666666666677,0.17538053863907885,3,0.021777777777777896,0.12056361660197555,3,383,272.74346921603825,3,683.3333333333334,344.39963866286377,3,93468000,1,0,3,1,0,10,0.4,12
CompMix36_S25_93468000_F1,37,90,neither,1,NA,1,NA,NA,NA,2,NA,1,0,1,966.6666666666667,NA,1,0.034999999999999254,NA,1,0.022368421052631593,NA,1,67,NA,1,883.3333333333334,NA,1,93468000,1,0,3,1,0,10,0.4,12
CompMix36_S28_502428000_F1,38,40,distractor,0.713696715583508,0.19070728533358103,3,NA,NA,NA,1,0,3,2,3,1588.8888888888891,590.7465458904364,3,0.04833333333333364,0.27903106159231333,3,0.05624999999999991,0.19132454974031238,3,382.3333333333333,175.75361542037572,3,1555.5555555555557,626.7937223444173,3,502428000,1,0,3,0.6666666666666666,0.5773502691896257,3,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,target,0.8495370370370371,0.26060949650920606,3,NA,NA,NA,1,0,3,1,3,2172.222222222222,742.617991622531,3,-0.029999999999999805,0.07071067811865513,2,-0.01779166666666665,0.04260318356648943,2,599.5,118.08683245815344,2,2172.222222222222,742.617991622531,3,502428000,1,0,3,0.6666666666666666,0.5773502691896257,3,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,neither,0.8926316183188976,0.1296347689406261,5,NA,NA,NA,1.2,0.44721359549995793,5,2,5,1463.3333333333335,501.0267236163933,5,0.04500000000000015,0.007071067811865638,2,-0.0283433908045978,0.018606255158980494,2,249.5,188.79751057680818,2,1360,631.9722216117485,5,502428000,1,0,3,0.6666666666666666,0.5773502691896257,3,-0.09999999999999998,13
CompMix36_S13_536412000_F2,40.43333333333333,70,target,0.8043441514536849,0.29701198994650174,4,0.3616352201257862,0.00444721246029279,2,1.5,0.5773502691896257,4,2,4,1206.25,347.83556939067256,4,0.11124999999999985,0.10443299287102709,4,0.07916666666666661,0.13636516539546795,4,354,178.99161991557034,4,1212.5,415.3033251153329,4,536412000,1,0,7,0.75,0.5,4,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,neither,0.7116582127098025,0.3169674475830277,3,NA,NA,NA,1.6666666666666667,0.5773502691896257,3,3,3,958.3333333333334,678.5912695512013,3,0.12750000000000017,0.09545941546018408,2,0.07726436781609203,0.06813827241468308,2,441.5,152.02795795510772,2,1016.6666666666667,726.2919523166975,3,536412000,1,0,7,0.75,0.5,4,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,distractor,0.6996363629777719,0.13331834068128412,7,0.15408805031446543,0.022236062301463775,2,2,1,7,7,7,746.4285714285716,318.1928552335724,7,0.0835714285714285,0.08938280435456103,7,0.024465986394557833,0.0962669683555118,7,409.2857142857143,157.3845759974743,7,476.1904761904762,218.76275473019365,7,536412000,1,0,7,0.75,0.5,4,0.19999999999999996,15.43333333333333
CompMix36_S15_97932000_F2,39.46666666666667,45,neither,0.6800213675213675,0.46563335839116593,3,NA,NA,NA,2,1,3,1,3,478.70370370370375,195.83497503908657,3,0.04166666666666652,0.1973153144926498,3,-0.018055555555555564,0.10563381236524046,3,216.66666666666666,289.1752640412615,3,288.8888888888889,125.09255832441893,3,97932000,0.8333333333333334,0.408248290463863,6,0.3333333333333333,0.5773502691896257,3,-0.04999999999999999,14.466666666666669
CompMix36_S15_97932000_F2,39.46666666666667,45,target,0.6853073463268367,0.278844166143906,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,3,3,1322.2222222222222,1143.2572051104848,3,0.11000000000000017,0.19576771950451877,3,0.097472222222222335,0.16269254262542582,3,599.6666666666666,116.92875323603401,3,1183.3333333333335,961.0468828892331,3,97932000,0.8333333333333334,0.408248290463863,6,0.3333333333333333,0.5773502691896257,3,-0.04999999999999999,14.466666666666669
