recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.6192205683836265,0.33617738365852873,20,0.2476415094339623,0.4846189811326717,16,1.368421052631579,0.5972647203701474,19,0.6,0.5163977794943222,10,0.875,0.3535533905932738,8,443.85714285714283,295.93097650827775,7,0.95,20,1223.6842105263158,732.1605898330935,19,1317.5438596491229,771.9118817691398,19,1358.7719298245615,753.3744748896161,0.07650000000000005,0.12259368061329988,20,-0.009689793153577009,0.1010195181141378,20,655.4,411.1084374814278,20,21,all
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7760216298438619,0.18192590253859364,22,0.5047169811320755,0.1687715663854225,16,1.4090909090909092,0.6661253213344647,22,0.625,0.5175491695067657,8,1,0,12,377.3333333333333,119.17773841340225,12,1.1818181818181819,22,1535.4797979797981,625.520906862623,22,1468.939393939394,738.156854012439,22,1691.6666666666667,521.5653585893366,0.26659090909090916,0.5718815777423146,22,0.06389839572192518,0.07567093918620545,22,904.6363636363636,442.5317363334947,22,14,all
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.8223019610530803,0.1483626212522683,18,0.4811320754716981,0.1659004211485338,14,2.2222222222222223,1.0602749674192764,18,0.3333333333333333,0.5163977794943222,6,1,0,7,268.42857142857144,123.03232250491081,7,1,18,837.1604938271605,560.9820238780728,18,949.0740740740741,544.6253200947491,18,998.1481481481482,511.91326652798256,0.16588235294117654,0.14392093417608728,17,0.02576111198591658,0.10376104632746759,17,685.8235294117648,467.8239833652874,17,12,all
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.8820266131528781,0.14511670755094178,21,0.57520964360587,0.093875917109884,12,2.4761904761904763,0.6796357567879738,21,1,0,13,1,0,6,303.6666666666667,183.06137404342476,6,0.47619047619047616,21,742.8571428571429,244.47375365414908,21,853.968253968254,421.04053519243524,21,1017.4603174603175,341.82826221153925,0.22380952380952376,0.13581149400828307,21,0.09355051088098751,0.11352653235271461,21,890.5238095238095,531.7230123896858,21,12,all
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.7737658603698965,0.270067344397539,15,0.3761792452830189,0.12488375196590977,8,1.1428571428571428,0.36313651960128146,14,1,0,2,1,0,5,522.2,533.0287984715272,5,0.4666666666666667,15,1567.2619047619048,606.5213996065663,14,1502.3809523809525,709.9373134375943,14,1632.1428571428573,535.3114073212926,0.201,0.20678491240900537,10,0.08936385871091175,0.1561879380699708,10,854,322.03381464960756,10,13,all
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.7131611096850767,0.18752810408834047,20,0.3308625336927224,0.25186297485712233,14,1.7,0.7326950970650465,20,0.6,0.5477225575051661,5,1,0,11,509.6363636363636,135.8596869768753,11,1.1,20,991.6666666666667,496.8467823647436,20,967.5000000000001,552.3335662632253,20,1151.6666666666667,469.87929269930845,0.2133333333333333,0.10989299608362346,18,0.05757351743113887,0.11807080691432426,18,927.0555555555555,371.6441169629927,18,15.43333333333333,all
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.5543095514952622,0.3039236469164261,14,0.08936058700209643,0.44305539076485384,12,1.4615384615384615,0.7762500258061847,13,0.3333333333333333,0.5773502691896257,3,0.75,0.4629100498862757,8,717.3333333333334,471.7302901729617,6,1,14,902.7777777777778,677.1513498600472,13,893.5897435897436,695.7722348937207,13,996.1538461538462,640.643262021688,0.24071428571428566,0.2375747424322675,14,0.08229745802231646,0.09223684587922418,14,1025.357142857143,485.512355406891,14,14.466666666666669,all
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.6867463325418658,0.2670040423939687,24,0.27476415094339623,0.24386753592362936,16,1.9166666666666667,0.7755316082290385,24,0.6923076923076923,0.4803844614152614,13,1,0,9,316.6666666666667,195.26072313704054,9,1.3333333333333333,24,989.0046296296297,593.1792029440445,24,1054.861111111111,666.7115775935367,24,1184.0277777777778,581.6327004464789,0.24749999999999997,0.20768391535131495,24,0.09968651831308915,0.13375986276520752,24,896.625,447.212896728169,24,13,all
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.6377169355197498,0.2062823309343635,22,0.22818396226415094,0.24355400048392004,16,1.2727272727272727,0.4558423058385518,22,0.5,0.5345224838248488,8,1,0,13,373.0769230769231,263.5293979611072,13,1.5,22,1407.5757575757577,684.3628959496368,22,1365.1515151515152,732.3750790225296,22,1515.1515151515152,620.5030620585608,0.1235714285714286,0.15124601529579917,21,-0.002067363530778188,0.1364763189341424,21,732.047619047619,503.3427734844791,21,16,all
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.529742171349488,0.22139417915569254,24,0.03596698113207548,0.18733613058991155,16,1.125,0.3378319623460881,24,0.38461538461538464,0.5063696835418333,13,1,0,8,549.375,282.11747173321766,8,1.1666666666666667,24,1178.8194444444446,565.3916771504355,24,1245.138888888889,570.881155653992,24,1245.138888888889,570.881155653992,0.19354166666666672,0.11760729760212746,24,0.07584578495596865,0.06772546231064255,24,1028.5,373.7560236536547,24,15.200000000000003,all
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.8287010978255127,0.2209276928200859,24,0.6686320754716981,0.28117000339786213,16,1.5416666666666667,0.8836272412331319,24,0.5833333333333334,0.5149286505444373,12,1,0,10,317,141.7227340031702,10,0.7916666666666666,24,1715.5092592592594,846.8964356063208,24,1672.9166666666667,913.6486880200578,24,1852.0833333333335,733.7171673352833,0.249375,0.2048292634706112,24,0.11077908093595716,0.16127161385146652,24,1019.3333333333334,392.7836739132033,24,18.200000000000003,all
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.7571410552241684,0.1484705439431912,24,0.4691430817610063,0.20567486197141394,16,1.75,0.8968544062928813,24,0.25,0.4629100498862757,8,1,0,10,347.3,266.78874289094983,10,1.2083333333333333,24,1241.9560185185187,581.7078195970425,24,1254.861111111111,583.8709565313533,24,1406.9444444444446,458.51884695317835,0.1947916666666666,0.12815987948708799,24,0.08225431832610426,0.09092143388865583,24,927.9166666666666,418.1034734282336,24,21,all
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.6483877366516283,0.27629210642786634,20,0.16037735849056606,0.30279368735545903,12,1.25,0.4442616583193193,20,0.5454545454545454,0.5222329678670935,11,0.8888888888888888,0.3333333333333333,9,512,287.15700036242,8,1,20,1386.25,773.8331859694325,20,1435.8333333333335,758.7554252337426,20,1465,721.7567100748089,0.19574999999999998,0.12418444474164003,20,0.05417032295403805,0.12326395598362029,20,838.55,431.9507129535181,20,19.333333333333336,all
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,0.7632027293905822,0.26211357633676197,15,0.47735849056603774,0.2513660929649184,10,1.8,0.9411239481143202,15,0.6666666666666666,0.5,9,1,0,6,522.8333333333334,194.97427180699168,6,0.6,15,1014.7222222222223,794.6105456839655,15,1046.6666666666667,780.8267901336866,15,1138.888888888889,731.3736441842893,0.2699999999999999,0.1979447974995625,15,0.13499195818736517,0.17175016123240597,15,993.9333333333333,330.5118253053386,15,19,all
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.7440808457361046,0.24617051021962408,20,0.4644261006289308,0.2816569110600842,16,1.25,0.7163503994113789,20,0.625,0.5175491695067657,8,1,0,12,495.0833333333333,374.4810854146486,12,0.95,20,1767.9166666666667,795.837466692674,20,1752.5,821.1793508824911,20,1836.6666666666667,747.4244275201348,0.13631578947368433,0.19437108056257837,19,0.0013078415559756482,0.16177454717312187,19,742.421052631579,421.8987919433698,19,15.43333333333333,all
CompMix36_S07_535140000_E2,535140000,CompMix-36,41.266666666666666,50,50,50,0.6660822949349425,0.26887075423890944,19,0.2468553459119497,0.25863263381532064,14,1.7222222222222223,0.8264420947336313,18,0.6666666666666666,0.5773502691896257,3,1,0,3,398,79.03796556086195,3,1.105263157894737,19,886.1111111111112,619.4558016485748,18,894.4444444444445,655.7189338896948,18,1014.8148148148149,572.4870888999623,0.49578947368421056,0.3165406027927132,19,0.11352287276924072,0.1708383275271584,19,632.9473684210526,275.074832986753,19,16.266666666666666,all
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.6342518354879887,0.24807483161851324,24,0.2006682389937107,0.2883523055812346,16,1.434782608695652,0.5897678246195885,23,0.3333333333333333,0.5,9,0.9285714285714286,0.2672612419124244,14,341.9230769230769,282.71642492624466,13,1.25,24,1283.0917874396137,647.8575116409821,23,1273.1884057971015,664.2710581135859,23,1378.985507246377,596.5857696831979,0.24687499999999998,0.16943520308211707,24,0.05685735884730329,0.14595905892737285,24,987.5,466.19691678237353,24,13,all
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.6959380679478353,0.21817927583928534,22,0.2859389038634321,0.3309157895615721,14,1.3636363636363635,0.49236596391733095,22,0.25,0.4629100498862757,8,0.8571428571428571,0.3779644730092272,7,339.8333333333333,134.44317262942982,6,1.2727272727272727,22,1300,634.9394838471995,22,1371.969696969697,615.3758769544594,22,1382.5757575757577,601.4857546402185,0.1629545454545453,0.14846563728535125,22,0.04616000535538575,0.14971753236022478,22,975,439.27613617122864,22,23,all
Mix_20_S29,17328000,Mix-20,21.033333333333335,42,58,42,0.41002949852507375,0.44280715378396984,5,NA,NA,NA,1.6666666666666667,0.5773502691896257,3,1,NA,1,0,0,2,NA,NA,NA,0.4,5,875,325,3,1305.5555555555557,854.7795903904985,3,1305.5555555555557,854.7795903904985,0.2750000000000001,0.1776231966833161,5,0.12328820512820507,0.11874448716632957,5,1025.8,280.1280064541923,5,-3.966666666666665,all
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.5402127431102732,0.3218159876556089,17,0.06639088989244263,0.2685298206369209,12,1.3125,0.47871355387816905,16,0.5,0.5477225575051661,6,0.6666666666666666,0.5,9,418.6666666666667,458.667490309338,6,0.9411764705882353,17,1035.9375,652.9826067532139,16,951.0416666666667,702.4683662312173,16,1120.8333333333335,633.4941316340783,0.2134375,0.1482083977602708,16,0.08464703810991431,0.11086712521371854,16,1052.25,431.5795021391385,16,-3.6999999999999993,all
Mix_14_S23,55704000,Mix-14,14.3,77,23,77,0.4333604835496553,0.36777578146070283,8,-0.1957180050944963,0.3877504280913599,6,1.2,0.44721359549995793,5,0,0,3,0.3333333333333333,0.5773502691896257,3,900,NA,1,0.625,8,1251.6666666666667,418.0144867239784,5,1220,473.37441136307035,5,1283.3333333333335,367.9900360969936,0.22999999999999998,0.15724185193516393,7,0.10678993855606755,0.13367046839379249,7,901.8571428571429,424.22730879071133,7,-10.7,all
Mix_14_S24,18348000,Mix-14,14,27,73,27,0.562332904377971,0.46528075156964777,6,-0.060525667823022794,0.3052536002308298,4,1,0,4,NA,NA,NA,1,NA,1,2,NA,1,0.3333333333333333,6,1541.6666666666667,491.50185561610465,4,1541.6666666666667,491.50185561610465,4,1541.6666666666667,491.50185561610465,-0.008999999999999897,0.14834082378091354,5,-0.14864410254103227,0.1675870279491238,5,809.2,747.4832439593546,5,-11,all
Mix_20_S41,40632000,Mix-20,20.5,29,71,29,0.46912014335355295,0.47040307153475025,9,0.1141833280440072,0.11696143845399766,4,1.2,0.44721359549995793,5,1,0,4,0.3333333333333333,0.5773502691896257,3,836,NA,1,0.2222222222222222,9,1648.3333333333335,582.9879930152937,5,1690.0000000000002,534.192017079169,5,1690.0000000000002,534.192017079169,0.03333333333333331,0.14696938456699066,9,-0.06026664443973953,0.13175735576083863,9,828.8888888888889,598.0868340894248,9,-4.5,all
Mix_20_S45,58560000,Mix-20,20.366666666666667,91,9,91,0.6897164289865212,0.15690383131892277,8,0.3177651151056305,0.1250679578155205,4,1.375,0.5175491695067657,8,0,0,2,1,NA,1,219,NA,1,1.125,8,789.5833333333334,454.09840028660875,8,727.0833333333334,510.8301289420199,8,852.0833333333334,428.7706216985325,0.22374999999999984,0.15181638345618134,8,0.07305660409424508,0.11096912689845756,8,1192.875,287.86873868880883,8,-4.633333333333333,all
Mix_14_S30,62880000,Mix-14,14.466666666666667,24.1,75.9,24.1,0.4619817330343272,0.35669401035436354,15,-0.06279682602602092,0.30409782636152255,12,1.1818181818181819,0.40451991747794525,11,0.2857142857142857,0.4879500364742666,7,0.2857142857142857,0.4879500364742666,7,527,224.8599564173221,2,0.6666666666666666,15,1203.7878787878788,661.6620868477484,11,1221.2121212121212,661.903438287007,11,1221.2121212121212,661.903438287007,0.11266666666666666,0.127669588428583,15,-0.04879842413930321,0.14209204380828994,15,855.7333333333333,555.5300514780798,15,-10.533333333333333,all
Mix_14_S32,72444000,Mix-14,14.133333333333333,69,28,69,0.4736503666299119,0.32154313196545015,18,-0.04423968914324064,0.20590482830299012,12,1.4375,0.6291528696058958,16,0.2222222222222222,0.44095855184409843,9,0.5555555555555556,0.5270462766947299,9,765.6,392.11962460453316,5,1.5,18,874.6527777777778,503.04205761386896,16,877.0833333333334,544.02052657352306,16,985.4166666666667,525.2468555443804,0.05111111111111101,0.052174919474995154,18,-0.026037990053794716,0.05161723956916764,18,758.8333333333334,357.51894232004975,18,-10.866666666666667,all
Mix_14_S34,70908000,Mix-14,14.8,57,43,57,0.4750373328687944,0.3648939659920298,17,-0.014663813638811106,0.3257212216029038,10,1.0833333333333333,0.28867513459481287,12,0.6666666666666666,0.5,9,0.14285714285714285,0.3779644730092272,7,1384,NA,1,0.6470588235294118,17,1375.6944444444446,675.4110078028633,12,1391.6666666666667,655.8786226709693,12,1391.6666666666667,655.8786226709693,0.05281250000000001,0.10059769298216205,16,-0.032181432969468515,0.13804891581470985,16,865.875,498.3702606162076,16,-10.2,all
Mix_20_S47,61680000,Mix-20,20.2,80,20,80,0.5282681550793124,0.3301670719895368,18,0.09231007928802808,0.169009683778283,12,1.2142857142857142,0.4258153136263201,14,0.42857142857142855,0.5345224838248488,7,0.6363636363636364,0.504524979109513,11,739.8571428571429,420.8726761430463,7,0.8333333333333334,18,1394.047619047619,584.0328093046849,14,1389.2857142857144,592.676355623592,14,1425,546.7366277934378,0.1725,0.11047025151862488,18,0.06426862373737377,0.10670600276567162,18,1105.5555555555557,478.11999751751,18,-4.800000000000001,all
