recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.6887718839006847,0.36512934114445494,10,0.7987421383647799,0.055068870174271256,4,1.6,0.699205898780101,10,0.6,0.5163977794943222,10,NA,NA,NA,NA,NA,NA,0.8,10,1133.3333333333335,856.3488385776753,10,1255,941.6314316580664,10,1333.3333333333335,915.3020145163988,0.013499999999999979,0.12609630358490978,10,6.637931034482846e-4,0.08150996301989778,10,406.4,237.31610424354545,10,21,target
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.8117420781505456,0.1834899905670625,8,0.5927672955974843,0.17263167614326286,4,1.75,0.8864052604279183,8,0.625,0.5175491695067657,8,NA,NA,NA,NA,NA,NA,1,8,1280.9027777777778,630.3561279975443,8,1133.3333333333335,833.095204071911,8,1593.75,513.155310813279,0.06999999999999995,0.07401737247816506,8,0.0391934523809524,0.06270415918261077,8,491.375,166.536085750635,8,14,target
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.7980200152833714,0.14094014426205656,6,0.41037735849056606,0.100152830750167,4,2.5,1.51657508881031,6,0.3333333333333333,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,1,6,685.0925925925926,372.628371560971,6,738.8888888888889,368.5808620260307,6,855.5555555555555,267.0136631266203,0.11083333333333319,0.04903230227785221,6,0.11194444444444433,0.05789709901259369,6,230.5,112.94733285916936,6,12,target
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.9284275524204778,0.12198452383521358,13,0.6245283018867924,0.11870531177501384,10,2.230769230769231,0.4385290096535146,13,1,0,13,NA,NA,NA,NA,NA,NA,0.3076923076923077,13,843.1623931623932,197.02525174681108,13,988.4615384615386,451.9702042469896,13,1153.8461538461538,322.1135242536744,0.17115384615384624,0.12757602057456177,13,0.11472161172161172,0.09387051809329017,13,425.38461538461536,215.04167753466555,13,12,target
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,1,0,2,NA,NA,NA,1,0,2,1,0,2,NA,NA,NA,NA,NA,NA,0,2,2600,70.71067811865476,2,2600,70.71067811865476,2,2600,70.71067811865476,-0.08000000000000007,NA,1,-0.04791666666666661,NA,1,683,NA,1,13,target
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.7999379061969616,0.2574085597164508,5,0.3616352201257862,0.00444721246029279,2,1.4,0.5477225575051661,5,0.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,0.6,5,1311.6666666666667,382.4990922284072,5,1316.6666666666667,428.4986710727481,5,1393.3333333333335,369.23344016127976,0.09099999999999983,0.10114346246792226,5,0.06854999999999993,0.12045813299879571,5,393.2,178.07779198990536,5,15.43333333333333,target
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.6853073463268367,0.278844166143906,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1322.2222222222222,1143.2572051104848,3,1427.7777777777778,1044.3410114268943,3,1427.7777777777778,1044.3410114268943,0.11000000000000017,0.19576771950451877,3,0.097472222222222335,0.16269254262542582,3,599.6666666666666,116.92875323603401,3,14.466666666666669,target
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.8255915669625686,0.2261935122420495,13,0.660377358490566,0.2594836457640097,8,2.076923076923077,0.8623164985025763,13,0.6923076923076923,0.4803844614152614,13,NA,NA,NA,NA,NA,NA,0.7692307692307693,13,1160.042735042735,743.9247585444615,13,1234.6153846153848,763.200544565497,13,1335.897435897436,674.0853251933509,0.09576923076923075,0.10566941677243055,13,0.06253846153846149,0.09233008427511971,13,414,183.74257354607107,13,13,target
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.7099596773286481,0.1373333719334356,8,0.4575471698113208,0.0753624296352985,4,1.5,0.5345224838248488,8,0.5,0.5345224838248488,8,NA,NA,NA,NA,NA,NA,1.625,8,1426.0416666666667,644.3656518266382,8,1250.0000000000002,828.5577448240628,8,1662.5000000000002,466.1349011088379,0.1231250000000001,0.08459726017177742,8,0.05224999999999996,0.08140113538071705,8,327,221.08369455932294,8,16,target
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.4886001776839015,0.24764258107966644,13,0.03223270440251573,0.1858484104929152,8,1.0769230769230769,0.2773500981126146,13,0.38461538461538464,0.5063696835418333,13,NA,NA,NA,NA,NA,NA,1,13,1143.5897435897436,681.0442166784952,13,1185.897435897436,680.612678572489,13,1185.897435897436,680.612678572489,0.06730769230769248,0.06508377244672774,13,0.03833333333333328,0.046690618853136766,13,384.3076923076923,145.49477918204065,13,15.200000000000003,target
