recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.7667004048582996,0.05081435370874994,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,403,470.93311627024065,2,1,2,1883.3333333333335,23.57022603955169,2,1883.3333333333335,23.57022603955169,2,1883.3333333333335,23.57022603955169,0.002500000000000391,0.01767766952966394,2,-0.03916666666666657,0.07236059394142325,2,108,59.39696961966999,2,21,distractor
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.8400212596332713,0.01277790622393976,2,NA,NA,NA,1.5,0.7071067811865476,2,NA,NA,NA,1,0,2,404,0,2,1,2,1579.1666666666667,948.7015980919512,2,1741.6666666666667,718.8918942063232,2,1741.6666666666667,718.8918942063232,0.12499999999999978,0.014142135623730963,2,0.0641666666666667,0.044194173824159536,2,624,35.35533905932738,2,14,distractor
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.7272727272727273,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,1,337,NA,1,1,1,566.6666666666667,NA,1,583.3333333333334,NA,1,583.3333333333334,NA,0.08000000000000007,NA,1,0.07383333333333342,NA,1,384,NA,1,12,distractor
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.822332794945273,0.07028982197667002,3,0.4528301886792453,0.13341637380878252,2,3.3333333333333335,0.5773502691896257,3,NA,NA,NA,1,0,3,270.3333333333333,117.00142449275279,3,0.6666666666666666,3,491.6666666666667,150.69284433354267,3,594.4444444444445,216.8802366215904,3,794.4444444444446,333.8884266959271,0.11166666666666665,0.15011106998930285,3,0.07697222222222229,0.2284229953722145,3,283.3333333333333,216.50019245564965,3,12,distractor
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.6811594202898551,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,737,NA,1,1,1,1450,NA,1,1450,NA,1,1450,NA,0.025000000000000355,NA,1,0.028583333333333183,NA,1,667,NA,1,13,distractor
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.6327758709357288,0.10098564902742029,4,NA,NA,NA,1.5,0.5773502691896257,4,NA,NA,NA,1,0,4,503.5,143.60478172168686,4,1.75,4,1185.4166666666667,626.7337065204719,4,1320.8333333333335,490.53542175871473,4,1320.8333333333335,490.53542175871473,0.09375,0.07330018190063836,4,0.05412797619047616,0.040161068350981446,4,395.5,213.60009363293827,4,15.43333333333333,distractor
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.5037611940298508,0.5540339938084925,2,NA,NA,NA,1,NA,1,NA,NA,NA,0.5,0.7071067811865476,2,253,NA,1,1,2,1833.3333333333335,NA,1,1833.3333333333335,NA,1,1833.3333333333335,NA,-0.0024999999999999467,0.03181980515339522,2,0.06308333333333338,0.0315841028929991,2,266.5,352.8462838120872,2,14.466666666666669,distractor
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.6499385527362105,0.25230826752587865,3,0.16352201257861637,0.06226097444409859,2,1.6666666666666667,0.5773502691896257,3,NA,NA,NA,1,0,3,148.33333333333334,150.32076813711848,3,2,3,991.6666666666667,108.33333333333333,3,1177.7777777777778,367.54944237829096,3,1177.7777777777778,367.54944237829096,0.2333333333333334,0.17337339280677797,3,0.13695238095238085,0.14177294982725386,3,471.3333333333333,145.05631090488043,3,13,distractor
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.47808686728818406,0.25624897276434877,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,664.3333333333334,78.6468901694996,3,1.6666666666666667,3,1238.888888888889,692.0848802578204,3,1238.888888888889,692.0848802578204,3,1238.888888888889,692.0848802578204,0.028333333333333172,0.04752192476461116,3,-0.016833333333333478,0.0329292170167061,3,171.66666666666666,173.33878196564476,3,16,distractor
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.4985076019028075,0.1472781869591979,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,703.5,424.9711754931151,2,1.5,2,1208.3333333333335,412.4789556921527,2,1208.3333333333335,412.4789556921527,2,1208.3333333333335,412.4789556921527,0.06750000000000012,0.017677669529663625,2,0.04504166666666687,0.009015611460128508,2,441.5,58.68986283848344,2,15.200000000000003,distractor
