recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.5575713291343349,0.3387796475387355,14,0.10953878406708596,0.5257600258133852,12,1.4615384615384615,0.6602252917735247,13,0.5714285714285714,0.5345224838248488,7,0.8333333333333334,0.408248290463863,6,460.2,273.4039136515789,5,1.0714285714285714,14,1033.3333333333335,640.3847223291579,13,1096.1538461538462,673.2368552358548,13,1156.4102564102564,662.1911740556129,0.10428571428571425,0.13083837861530279,14,0.014464219397784512,0.10641345100829079,14,690.2142857142857,337.4625172511023,14,21,all
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7687440261647006,0.19867486475308502,15,0.49910152740341424,0.20893682551044815,14,1.2666666666666666,0.5936168397046637,15,1,0,4,1,0,10,372,131.03434664239754,10,1.1333333333333333,15,1633.1481481481483,613.3818442781501,15,1557.7777777777778,721.1341009371222,15,1701.111111111111,552.7157578671962,0.34633333333333344,0.68431787378451,15,0.07436764705882357,0.08408697974856852,15,871.6666666666666,443.81634983510054,15,14,all
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.847971791112014,0.12690687634292583,13,0.49937106918238994,0.1691552406003477,10,2.1538461538461537,0.8006407690254357,13,0.3333333333333333,0.5773502691896257,3,1,0,6,257,130.64149417394154,6,0.9230769230769231,13,898.7179487179487,628.9654197240181,13,1028.2051282051282,605.8123034476496,13,1070.5128205128206,568.7931443201834,0.18692307692307703,0.15823951336421502,13,0.03684690405380066,0.11333551170773891,13,723.8461538461538,479.0347666843271,13,12,all
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.9091529383239937,0.12970179872192597,14,0.5927672955974843,0.11138630960903466,12,2.4285714285714284,0.646206172658864,14,1,0,10,1,0,3,337,258.37182508934677,3,0.35714285714285715,14,760.7142857142858,236.4410895361792,14,844.047619047619,409.742839033453,14,1023.8095238095239,328.60195218416305,0.23500000000000001,0.12740003622750362,14,0.0866274741142676,0.10914631524216452,14,910,515.487372075428,14,12,all
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.8320781226778294,0.1835985819263849,11,0.4009433962264151,0.2437403975751525,8,1.0909090909090908,0.30151134457776363,11,1,0,2,1,0,4,468.5,599.6679636821252,4,0.45454545454545453,11,1690.909090909091,615.6461662515263,11,1653.030303030303,686.8939017950534,11,1728.787878787879,563.7222971311568,0.13928571428571423,0.1711585174487034,7,0.022698716701525536,0.11136723132294948,7,879.8571428571429,388.0727717715792,7,13,all
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.7321289846277536,0.21514493218114225,14,0.33962264150943394,0.28217267565811865,12,1.7857142857142858,0.8017837257372732,14,0.75,0.5,4,1,0,7,513.1428571428571,142.8722372977906,7,0.8571428571428571,14,923.2142857142858,432.7310727445874,14,861.9047619047619,506.97816720926164,14,1101.1904761904761,454.06352796022657,0.2276923076923077,0.10189077862707085,13,0.06833382773075677,0.13309138573333465,13,985.1538461538462,383.4894275278538,13,15.43333333333333,all
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.5627342777394975,0.284107682800181,12,-0.0025157232704402623,0.31404864066523475,10,1.5,0.7977240352174656,12,0.3333333333333333,0.5773502691896257,3,0.8333333333333334,0.408248290463863,6,810.2,462.03917582819753,5,1,12,825.2314814814815,644.1564341765003,12,815.2777777777778,664.1793878608845,12,926.3888888888889,615.3941962961765,0.27333333333333326,0.24018301103091946,12,0.08543038719956893,0.09885428276631122,12,1083.8333333333333,497.8964538816066,12,14.466666666666669,all
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.6443366169042721,0.27766768237556966,16,0.26690251572327045,0.389314229978365,16,1.75,0.6831300510639732,16,0.625,0.5175491695067657,8,1,0,6,400.8333333333333,162.67073082354634,6,1.375,16,1054.1666666666667,698.2525219160615,16,1102.0833333333335,766.5187055290471,16,1260.4166666666667,669.4075600719501,0.24562499999999995,0.2526121862988138,16,0.07764254211297109,0.15421983516408325,16,811,439.1771093002609,16,13,all
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.6351568953665809,0.20513392356562826,15,0.2376460017969452,0.2747452559944118,14,1.3333333333333333,0.4879500364742666,15,0.4,0.5477225575051661,5,1,0,10,285.7,233.37240149121698,10,1.5333333333333334,15,1397.7777777777778,722.0140115013232,15,1382.2222222222224,747.0966732314093,15,1508.888888888889,633.2664960555351,0.12066666666666673,0.16895547455158816,15,0.0023945799457994353,0.1514301708086218,15,728.4666666666667,562.1556554481872,15,16,all
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.5146070796548532,0.21519219228694952,16,0.029481132075471705,0.1556857866308112,16,1.1875,0.4031128874149275,16,0.375,0.5175491695067657,8,1,0,6,498,250.27424957434195,6,1.25,16,1084.8958333333335,521.5736405341053,16,1184.375,545.9096638740801,16,1184.375,545.9096638740801,0.17,0.11419281938896157,16,0.06300261840617516,0.07206194816192761,16,982.6875,402.04953571253714,16,15.200000000000003,all
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.8556713517636446,0.22630539962451357,16,0.7032232704402516,0.29089183501072946,16,1.375,0.6191391873668903,16,0.75,0.4629100498862757,8,1,0,6,306.5,182.91938114918275,6,0.6875,16,1889.236111111111,837.1977527206424,16,1866.6666666666667,884.2866972667648,16,1994.7916666666667,752.3720206170664,0.27531250000000007,0.23040883048760677,16,0.13204509434187645,0.16832646758182346,16,1051.25,367.2349838091863,16,18.200000000000003,all
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.7812239877631485,0.16217192745884693,16,0.5157232704402516,0.2905905405008069,16,1.9375,0.9287087810503355,16,0.4,0.5477225575051661,5,1,0,7,261.2857142857143,251.98327608905205,7,1.125,16,1168.6631944444446,587.595095348553,16,1186.4583333333335,601.0243955731531,16,1396.875,443.10431636939086,0.1706249999999999,0.10228839947260222,16,0.08888459573311977,0.07404828666944693,16,1047.3125,342.92462121191204,16,21,all
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.5982187259581533,0.27732591336440704,14,0.1069182389937107,0.3322365636606526,12,1.2857142857142858,0.4688072309384954,14,0.42857142857142855,0.5345224838248488,7,0.8571428571428571,0.3779644730092272,7,515,338.2300991928424,6,1.0714285714285714,14,1223.8095238095239,735.514364055101,14,1315.4761904761906,700.2278104795515,14,1315.4761904761906,700.2278104795515,0.19857142857142845,0.12202503796397628,14,0.046962536163890824,0.12791455500750945,14,894.5714285714286,462.58549551335983,14,19.333333333333336,all
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,0.7241647020608084,0.2749197353436094,12,0.3529874213836478,0.2416375610073916,8,1.6666666666666667,0.778498944161523,12,0.5714285714285714,0.5345224838248488,7,1,0,5,526.6,217.743656624022,5,0.6666666666666666,12,952.7777777777778,715.3911599848798,12,970.8333333333334,717.00573374431406,12,1075,665.0548697648787,0.28166666666666657,0.21708118855451844,12,0.14934521998406833,0.172987907051338,12,1023.1666666666666,300.73783005176193,12,19,all
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.7104529366866978,0.27133877047294713,15,0.431266846361186,0.2804399438251055,14,1.3333333333333333,0.816496580927726,15,0.5714285714285714,0.5345224838248488,7,1,0,8,486.75,441.3187218844384,8,1,15,1612.7777777777778,854.5273144943532,15,1592.2222222222224,882.5438220754809,15,1704.4444444444446,810.581475264719,0.19071428571428584,0.12795517759171562,14,0.04127067612528669,0.12315293060853483,14,896.9285714285714,335.2215029558158,14,15.43333333333333,all
CompMix36_S07_535140000_E2,535140000,CompMix-36,41.266666666666666,50,50,50,0.6568809404814181,0.28608607380284906,14,0.30974842767295596,0.3090107249764925,12,1.6923076923076923,0.7510676161988108,13,0.6666666666666666,0.5773502691896257,3,1,NA,1,371,NA,1,0.9285714285714286,14,857.2649572649573,635.8952998597063,13,889.7435897435898,668.315269274389,13,984.6153846153846,603.4415778613021,0.42750000000000005,0.2080934516398451,14,0.11161790695823252,0.15933986042519727,14,615.0714285714286,282.15611180439004,14,16.266666666666666,all
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.5721757063318657,0.23519013690975357,16,0.1285377358490566,0.25533836002092697,16,1.4666666666666666,0.6399404734221844,15,0.2857142857142857,0.4879500364742666,7,0.8888888888888888,0.3333333333333333,9,305.625,181.11790753145152,8,1.4375,16,1107.962962962963,548.4786023081377,15,1128.888888888889,555.1514403233786,15,1218.888888888889,502.17252879587977,0.24593750000000003,0.17805634641876708,16,0.06320413547227027,0.1326145767796088,16,1052.375,438.8882735579371,16,13,all
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.6058689297040071,0.22271393750516252,14,0.16876310272536688,0.3227143730711677,12,1.4285714285714286,0.5135525910130955,14,0.2,0.44721359549995793,5,0.8,0.44721359549995793,5,308,119.1217864204529,4,1.4285714285714286,14,1098.2142857142858,604.3748851759989,14,1141.6666666666667,589.2103218875272,14,1158.3333333333335,572.7333622843219,0.15142857142857125,0.09820364577731341,14,0.0427026759010546,0.09039220934668646,14,927.8571428571429,441.1282487759448,14,23,all
Mix_20_S29,17328000,Mix-20,21.033333333333335,42,58,42,0.3500491642084562,0.3586993155719302,3,NA,NA,NA,1.5,0.7071067811865476,2,NA,NA,NA,0,0,2,NA,NA,NA,0.6666666666666666,3,687.5,17.67766952966369,2,816.6666666666667,164.99158227686112,2,816.6666666666667,164.99158227686112,0.15666666666666673,0.07767453465154017,3,0.04174145299145297,0.04586407586713662,3,871.3333333333334,259.6080378827538,3,-3.966666666666665,all
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.6479256177029702,0.34395974428094095,11,0.20723636540296866,0.22707262710850432,10,1.3,0.48304589153964794,10,0.6,0.5477225575051661,5,0.75,0.5,4,207.66666666666666,214.23429541820175,3,0.7272727272727273,11,1280.8333333333335,687.0051529988066,10,1185,765.4761287615074,10,1376.6666666666667,643.0156575095735,0.20200000000000004,0.17235622027262792,10,0.06738085484559467,0.1277028058088004,10,937.6,452.94277293666534,10,-3.6999999999999993,all
