recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.41719643061278533,0.32923981280209225,6,-0.28301886792452835,5.551115123125783e-17,2,1.2,0.44721359549995793,5,NA,NA,NA,0.8333333333333334,0.408248290463863,6,460.2,273.4039136515789,5,1.1666666666666667,6,946.6666666666667,543.573566522713,5,1060,584.5938761225609,5,1060,584.5938761225609,0.05666666666666657,0.10371435130523957,6,-0.039048429047024547,0.10619136027569731,6,680.1666666666666,421.64459757794435,6,21,distractor
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7055729416496571,0.19337454256982542,10,0.4224318658280923,0.26967616695767876,6,1.2,0.4216370213557839,10,NA,NA,NA,1,0,10,372,131.03434664239754,10,1.5,10,1549.1666666666667,503.54376886274133,10,1488.3333333333335,580.657885718358,10,1610,470.5001279174857,0.3925000000000002,0.8400438149948557,10,0.059076470588235355,0.07330016344076302,10,872.8,470.3289156419036,10,14,distractor
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.8828704611020964,0.06655475603815787,6,0.6729559748427674,0.06226097444409859,2,1.8333333333333333,0.752772652709081,6,NA,NA,NA,1,0,6,257,130.64149417394154,6,0.6666666666666666,6,1197.2222222222222,824.2617347708235,6,1297.2222222222222,753.9095632963079,6,1297.2222222222222,753.9095632963079,0.1433333333333334,0.15939468832638887,6,-6.309503076743864e-4,0.12075261742029193,6,752,431.59471729853226,6,12,distractor
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.825979264593126,0.12422603310285792,3,NA,NA,NA,3,1,3,NA,NA,NA,1,0,3,337,258.37182508934677,3,0.6666666666666666,3,557.4074074074074,285.7378003257172,3,683.3333333333334,344.39963866286377,3,750,274.3679605525722,0.21666666666666679,0.1266227994214843,3,0.07644895797050981,0.10544400207318533,3,993.6666666666666,631.6219861066692,3,12,distractor
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.6724253144654089,0.17623703731208173,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,468.5,599.6679636821252,4,0.75,4,1520.8333333333335,501.17916512516325,4,1520.8333333333335,501.17916512516325,4,1520.8333333333335,501.17916512516325,0.15750000000000008,0.23546054163419122,4,0.051710127965043484,0.14513150157771365,4,961.25,256.2984913468409,4,13,distractor
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.6996363629777719,0.13331834068128412,7,0.15408805031446543,0.022236062301463775,2,2,1,7,NA,NA,NA,1,0,7,513.1428571428571,142.8722372977906,7,1,7,746.4285714285716,318.1928552335724,7,590.4761904761905,335.39047763282207,7,973.8095238095239,467.5445257918048,0.20857142857142857,0.09326102641306853,7,0.026660361719345462,0.06945844535903713,7,904,330.6095380757589,7,15.43333333333333,distractor
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.4428041985548928,0.158815203133777,6,0.08176100628930819,0.19567734825288105,2,1.3333333333333333,0.816496580927726,6,NA,NA,NA,0.8333333333333334,0.408248290463863,6,810.2,462.03917582819753,5,1.3333333333333333,6,750.0000000000001,384.27420765212264,6,711.1111111111112,422.51451870736764,6,822.2222222222223,372.18076054320505,0.18499999999999991,0.2738977911557522,6,0.086826795487708,0.12330096042083018,6,1068.5,602.339688215877,6,14.466666666666669,distractor
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.46576374849448554,0.21093792170940917,6,NA,NA,NA,1.6666666666666667,0.816496580927726,6,NA,NA,NA,1,0,6,400.8333333333333,162.67073082354634,6,2,6,746.7592592592594,250.27402677338748,6,830.5555555555557,499.7128805253703,6,950.0000000000001,428.04464979978695,0.16750000000000007,0.10925886691706096,6,0.07857727920227935,0.0810443996215443,6,585.6666666666666,247.08190275021494,6,13,distractor
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.6287927584196574,0.23831820770056425,10,-0.06918238993710692,0.13654221792816587,4,1.2,0.4216370213557839,10,NA,NA,NA,1,0,10,285.7,233.37240149121698,10,1.4,10,1494.1666666666667,785.3014086763985,10,1541.6666666666667,731.7006235265458,10,1541.6666666666667,731.7006235265458,0.09550000000000006,0.20355793606080136,10,-0.025085907859078604,0.17999488126929283,10,784.6,619.9523637613888,10,16,distractor
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.5923970236055928,0.23888380862155495,6,0.24213836477987424,0.06670818690439122,2,1.1666666666666667,0.408248290463863,6,NA,NA,NA,1,0,6,498,250.27424957434195,6,1.5,6,1250,479.4672969962486,6,1388.888888888889,522.8837417700108,6,1388.888888888889,522.8837417700108,0.21499999999999986,0.1117139203501517,6,0.08234185895967679,0.056618523508829476,6,1154.8333333333333,204.2806076617814,6,15.200000000000003,distractor
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.8835003558918997,0.06949786790740581,6,NA,NA,NA,1.3333333333333333,0.5163977794943222,6,NA,NA,NA,1,0,6,306.5,182.91938114918275,6,0.8333333333333334,6,1920.8333333333335,651.5739490734043,6,1766.6666666666667,902.835040918944,6,2075,503.184304648351,0.28416666666666673,0.2397377038904534,6,0.1399856000480999,0.14951519989156808,6,1201.8333333333333,369.91210667760885,6,18.200000000000003,distractor
