recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.6738332518653543,0.35032870093975027,7,0.7704402515723271,0.013341637380878252,2,1.7142857142857142,0.7559289460184544,7,0.5714285714285714,0.5345224838248488,7,NA,NA,NA,NA,NA,NA,1,7,1023.8095238095239,758.4009214603827,7,1059.5238095238096,802.5917013983131,7,1171.4285714285716,785.7948491645545,0.13142857142857142,0.15320776431897654,7,0.03646799246014191,0.08401424111351738,7,676,306.58875821964943,7,21,target
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.8688577439934845,0.16591583443200347,4,NA,NA,NA,1.5,1,4,1,0,4,NA,NA,NA,NA,NA,NA,0.5,4,1588.888888888889,790.1398532249345,4,1458.3333333333333,994.1961204540712,4,1691.6666666666667,658.4915421712803,0.30999999999999994,0.16160651802036552,4,0.1429652777777778,0.07003481851967405,4,1032.5,279.6825581500093,4,14,target
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.7330430886707184,0.15128327322710344,3,0.3584905660377359,0.017788849841171003,2,2,1,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,613.8888888888889,377.8900976817544,3,616.6666666666667,417.66546953805556,3,738.8888888888889,269.43012562182537,0.2250000000000001,0.14309088021254227,3,0.08600294612794619,0.14098189077121542,3,666.3333333333334,865.8939503965445,3,12,target
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.9250203342756534,0.131784550572978,10,0.6425576519916142,0.07969490760764152,6,2.3,0.48304589153964794,10,1,0,10,NA,NA,NA,NA,NA,NA,0.3,10,801.1111111111112,205.6773079531593,10,888.3333333333334,452.9771203989648,10,1103.3333333333335,327.3349173982943,0.244,0.13979747255702915,10,0.09881780234284765,0.11666007132321693,10,829.3,501.25399416530007,10,12,target
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,1,0,2,NA,NA,NA,1,0,2,1,0,2,NA,NA,NA,NA,NA,NA,0,2,2600,70.71067811865476,2,2600,70.71067811865476,2,2600,70.71067811865476,0.14999999999999947,NA,1,-6.388888888890776e-4,NA,1,1083,NA,1,13,target
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.8043441514536849,0.29701198994650174,4,0.3616352201257862,0.00444721246029279,2,1.5,0.5773502691896257,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,0.5,4,1206.25,347.83556939067256,4,1212.5,415.3033251153329,4,1308.3333333333335,365.52853665768856,0.2537499999999999,0.14395456459128553,4,0.16579166666666667,0.18845085989363405,4,1174.25,306.3738185071738,4,15.43333333333333,target
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.6853073463268367,0.278844166143906,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1322.2222222222222,1143.2572051104848,3,1427.7777777777778,1044.3410114268943,3,1427.7777777777778,1044.3410114268943,0.26000000000000006,0.13143439428094894,3,0.10108868092691618,0.08225846123995095,3,1182.3333333333333,621.7494136172011,3,14.466666666666669,target
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.8137474897732,0.24275086602463555,8,0.5801886792452831,0.4287006704717647,4,1.75,0.7071067811865476,8,0.625,0.5175491695067657,8,NA,NA,NA,NA,NA,NA,0.75,8,1398.263888888889,844.5970746305168,8,1487.5,832.6544854040552,8,1581.25,736.2731926980055,0.34187499999999993,0.3226224850458237,8,0.13071456240226015,0.10564237609343986,8,1109.875,357.6180873901255,8,13,target
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.6478851692604282,0.13851334962481662,5,NA,NA,NA,1.6,0.5477225575051661,5,0.4,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,1.8,5,1205,606.0631155251077,5,1063.3333333333335,747.1612945007257,5,1443.3333333333335,436.9401179414254,0.1710000000000001,0.04393176527297746,5,0.057355555555555514,0.04122081084735711,5,616.2,466.54817543314863,5,16,target
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.448663363885049,0.21919574789057683,8,-0.0020964360587002093,0.05346528512971095,6,1.125,0.3535533905932738,8,0.375,0.5175491695067657,8,NA,NA,NA,NA,NA,NA,1.125,8,975.0000000000001,581.1865258054232,8,1043.75,600.9871178927349,8,1043.75,600.9871178927349,0.13937500000000014,0.12684178840474566,8,0.055210648148148245,0.08894022217486941,8,876.5,449.61126066223665,8,15.200000000000003,target
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.7987174366083645,0.3097934829226854,8,0.26415094339622647,0.07115539936468405,2,1.25,0.4629100498862757,8,0.75,0.4629100498862757,8,NA,NA,NA,NA,NA,NA,0.75,8,1934.375,998.6343601726611,8,2002.0833333333333,935.7298102432014,8,2002.0833333333333,935.7298102432014,0.3000000000000001,0.2570158416462746,8,0.1533309159634318,0.2003960570533223,8,930.625,392.68341938149473,8,18.200000000000003,target
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.6804593235366794,0.17084989183273724,5,NA,NA,NA,1.8,0.8366600265340756,5,0.4,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,1.4,5,1064.4444444444446,483.59826710878247,5,986.6666666666667,524.5897868281887,5,1273.3333333333335,346.9309889749129,0.17999999999999988,0.0630476010645923,5,0.10251111111111114,0.0700598911558207,5,1109.4,396.4054742306165,5,21,target
