recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
108_108_pomper_saffran_2016_46,108,pomper_saffran_2016,46,0.8667422446834212,0.11962474544696926,8,0.6155660377358491,0.04645687642356656,4,1.125,0.3535533905932738,8,1,0,3,1,0,3,565,402.33692348577705,3,0.75,8,2589.5833333333335,693.2175670293528,8,2595.8333333333335,681.6035015559511,8,2595.8333333333335,681.6035015559511,21,all
109_109_pomper_saffran_2016_43,109,pomper_saffran_2016,43,0.8426413335538938,0.14798050984843492,8,0.5495283018867925,0.22659518519117192,4,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,5,345,195.57607215607945,5,1,8,2687.5,722.4160301619287,8,2629.166666666667,843.7327305698889,8,2745.8333333333335,621.5539920870633,18,all
110_110_pomper_saffran_2016_47,110,pomper_saffran_2016,47,0.8477782536963006,0.20434828739560595,8,0.5613207547169812,0.11438071370737869,4,1.125,0.3535533905932738,8,0.5,0.5773502691896257,4,1,0,4,315,406.71447806374766,4,0.375,8,2583.3333333333335,984.8051938537236,8,2550,1049.7165150195372,8,2616.666666666667,924.9624617007739,22,all
111_111_pomper_saffran_2016_42,111,pomper_saffran_2016,42,0.7379636141929464,0.22089007043651998,8,0.5212264150943396,0.12405451130549919,4,1.375,0.5175491695067657,8,0,0,4,1,0,3,415,90.13878188659973,3,1.5,8,2025.0000000000002,992.6715596796483,8,1633.3333333333335,1163.3285577743432,8,2133.3333333333335,904.3106644167025,17,all
112_112_pomper_saffran_2016_43,112,pomper_saffran_2016,43,0.9079820416694395,0.14736122166537666,8,0.5613207547169812,0.31046193720574217,4,1,0,8,0.6666666666666666,0.5773502691896257,3,1,0,5,80,51.8411033833193,5,0.375,8,2820.8333333333335,737.8513421920456,8,2820.8333333333335,737.8513421920456,8,2820.8333333333335,737.8513421920456,18,all
113_113_pomper_saffran_2016_42,113,pomper_saffran_2016,42,0.7191842061012484,0.16023366606185235,8,0.3231132075471698,0.37699471459593964,4,1.125,0.3535533905932738,8,0,0,3,1,0,4,421.25,170.01838135919303,4,1.125,8,2085.416666666667,697.5829870413439,8,2041.6666666666667,784.5229062788355,8,2129.166666666667,623.2117273791124,17,all
114_114_pomper_saffran_2016_42,114,pomper_saffran_2016,42,0.764623786407767,0.21430617034066177,8,0.759433962264151,0.1154135176320916,4,1.375,0.5175491695067657,8,0.25,0.5,4,0.75,0.5,4,406.6666666666667,28.867513459481287,3,1.25,8,2166.666666666667,1042.5472468453224,8,1837.5,1419.1924262964283,8,2495.8333333333335,792.912553476307,17,all
115_115_pomper_saffran_2016_42,115,pomper_saffran_2016,42,0.7742615175524922,0.1412976906889863,8,0.39858490566037735,0.10402342708819554,4,1.125,0.3535533905932738,8,0.3333333333333333,0.5773502691896257,3,1,0,5,565,182.8592354790974,5,1.25,8,2414.5833333333335,702.7969913930417,8,2283.3333333333335,964.9409884086753,8,2545.8333333333335,576.507685214266,17,all
116_116_pomper_saffran_2016_45,116,pomper_saffran_2016,45,0.8237631276969593,0.222190155268923,8,0.4929245283018868,0.13614028009114917,4,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,5,180,180.79684731764544,5,0.75,8,2631.25,962.9830266021357,8,2695.8333333333335,849.9182967268742,8,2695.8333333333335,849.9182967268742,20,all
117_117_pomper_saffran_2016_43,117,pomper_saffran_2016,43,0.9466638042599773,0.057906367691085446,8,0.8160377358490566,0.1417189225062107,4,1,0,8,0.75,0.5,4,1,0,4,208.75,94.37293044088437,4,0.25,8,3162.5000000000005,424.8015409651302,8,3162.5000000000005,424.8015409651302,8,3162.5000000000005,424.8015409651302,18,all
118_118_pomper_saffran_2016_42,118,pomper_saffran_2016,42,0.7876021652217589,0.19519153048700774,8,0.5495283018867925,0.13808755819155136,4,1.625,0.5175491695067657,8,0.3333333333333333,0.5773502691896257,3,1,0,4,96.25,162.5,4,1.375,8,1906.25,1263.7478117670596,8,1825,1352.9215887836315,8,2175,1087.9936391037215,17,all
119_119_pomper_saffran_2016_43,119,pomper_saffran_2016,43,0.8884428678117998,0.17840976569764985,7,0.42452830188679247,0.026683274761756505,2,1,0,7,1,0,3,1,0,4,315,73.59800721939872,4,0.5714285714285714,7,3085.714285714286,660.487233974576,7,3085.714285714286,660.487233974576,7,3085.714285714286,660.487233974576,18,all
120_120_pomper_saffran_2016_42,120,pomper_saffran_2016,42,0.5417506126977317,0.27456517127725927,7,-0.12499999999999999,0.3038824563683753,4,1.2857142857142858,0.4879500364742666,7,0,0,2,0.8,0.44721359549995793,5,483.75,423.46536654922164,4,1.2857142857142858,7,1230.9523809523812,568.8217656333143,7,1180.952380952381,579.2259019610964,7,1309.5238095238096,562.966443876735,17,all
