recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
108_108_pomper_saffran_2016_46,108,pomper_saffran_2016,46,0.802024827024827,0.15840348750203226,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,565,402.33692348577705,3,0.6666666666666666,3,2744.444444444445,555.1109331909688,3,2744.444444444445,555.1109331909688,3,2744.444444444445,555.1109331909688,21,distractor
109_109_pomper_saffran_2016_43,109,pomper_saffran_2016,43,0.8252457415293674,0.1724915325567584,5,0.3537735849056604,0.006670818690439126,2,1.2,0.44721359549995793,5,NA,NA,NA,1,0,5,345,195.57607215607945,5,0.8,5,2506.666666666667,825.7656379923355,5,2413.3333333333335,983.926374842707,5,2600,694.8221195225277,18,distractor
110_110_pomper_saffran_2016_47,110,pomper_saffran_2016,47,0.9100989910527317,0.15476627422848452,4,0.6603773584905661,1.1102230246251565e-16,2,1,0,4,NA,NA,NA,1,0,4,315,406.71447806374766,4,0.25,4,3133.3333333333335,542.2859707516636,4,3133.3333333333335,542.2859707516636,4,3133.3333333333335,542.2859707516636,22,distractor
111_111_pomper_saffran_2016_42,111,pomper_saffran_2016,42,0.6187426840184534,0.2834237596962204,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,415,90.13878188659973,3,1.3333333333333333,3,1911.1111111111113,1174.4186899310057,3,1911.1111111111113,1174.4186899310057,3,1911.1111111111113,1174.4186899310057,17,distractor
112_112_pomper_saffran_2016_43,112,pomper_saffran_2016,43,0.8606920587503112,0.17402855989922975,5,0.5613207547169812,0.31046193720574217,4,1,0,5,NA,NA,NA,1,0,5,80,51.8411033833193,5,0.4,5,2520,796.3807018142909,5,2520,796.3807018142909,5,2520,796.3807018142909,18,distractor
113_113_pomper_saffran_2016_42,113,pomper_saffran_2016,42,0.7571314943584361,0.14537662856145703,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,421.25,170.01838135919303,4,1,4,2308.3333333333335,710.9591851597129,4,2308.3333333333335,710.9591851597129,4,2308.3333333333335,710.9591851597129,17,distractor
114_114_pomper_saffran_2016_42,114,pomper_saffran_2016,42,0.754247572815534,0.24036681416429073,4,NA,NA,NA,1,0,4,NA,NA,NA,0.75,0.5,4,406.6666666666667,28.867513459481287,3,1,4,2600,822.8226036254941,4,2600,822.8226036254941,4,2600,822.8226036254941,17,distractor
115_115_pomper_saffran_2016_42,115,pomper_saffran_2016,42,0.7294489648218718,0.1317796107912086,5,0.3113207547169812,0.040024912142634796,2,1,0,5,NA,NA,NA,1,0,5,565,182.8592354790974,5,1.2,5,2466.666666666667,512.6185499743233,5,2466.666666666667,512.6185499743233,5,2466.666666666667,512.6185499743233,17,distractor
116_116_pomper_saffran_2016_45,116,pomper_saffran_2016,45,0.804648455295527,0.26334408630558387,5,0.4929245283018868,0.13614028009114917,4,1.2,0.44721359549995793,5,NA,NA,NA,1,0,5,180,180.79684731764544,5,0.8,5,2476.666666666667,1154.0749060996384,5,2580,1004.0473649739395,5,2580,1004.0473649739395,20,distractor
117_117_pomper_saffran_2016_43,117,pomper_saffran_2016,43,0.9517130321135175,0.04070696749114509,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,208.75,94.37293044088437,4,0,4,3275.0000000000005,125.83057392117938,4,3275.0000000000005,125.83057392117938,4,3275.0000000000005,125.83057392117938,18,distractor
