recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
108_pomper_saffran_2016_46,108,pomper_saffran_2016,46,0.9455128205128205,0.09437456323291958,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,2800,788.1060278357926,3,2800,788.1060278357926,3,2800,788.1060278357926,21,target
109_pomper_saffran_2016_43,109,pomper_saffran_2016,43,0.8716339869281046,0.1229624920279595,3,0.7452830188679245,0.026683274761756505,2,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2988.888888888889,494.7876461824959,3,2988.888888888889,494.7876461824959,3,2988.888888888889,494.7876461824959,18,target
110_pomper_saffran_2016_47,110,pomper_saffran_2016,47,0.7854575163398693,0.2512493877788405,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,2033.3333333333335,1078.0641085864154,4,1966.6666666666667,1170.3117659964073,4,2100,995.1735378165812,22,target
111_pomper_saffran_2016_42,111,pomper_saffran_2016,42,0.7618702153720527,0.1497763299277616,4,0.41509433962264153,0.026683274761756505,2,1.5,0.5773502691896257,4,0,0,4,NA,NA,NA,NA,NA,NA,4,4,1891.6666666666667,933.5813162623136,4,1075,1045.050060824662,4,2075,815.3049872423339,17,target
112_pomper_saffran_2016_43,112,pomper_saffran_2016,43,0.98679867986798675,0.022865357195628763,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,0,3,3322.222222222222,183.58568490953678,3,3322.222222222222,183.58568490953678,3,3322.222222222222,183.58568490953678,18,target
113_pomper_saffran_2016_42,113,pomper_saffran_2016,42,0.6628946450375022,0.2244587496986313,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,3,3,1738.8888888888891,809.0346327797329,3,1622.2222222222224,985.6376014953375,3,1855.5555555555557,647.5023237481541,17,target
114_pomper_saffran_2016_42,114,pomper_saffran_2016,42,0.775,0.2215851980616034,4,NA,NA,NA,1,0,4,0.25,0.5,4,NA,NA,NA,NA,NA,NA,3,4,2391.666666666667,872.3637535561176,4,1075,1572.3007440148433,4,2391.666666666667,872.3637535561176,17,target
115_pomper_saffran_2016_42,115,pomper_saffran_2016,42,0.8489491054368594,0.14750638412289996,3,NA,NA,NA,1,0,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2677.777777777778,771.9623863414109,3,1977.7777777777778,1584.0641588203614,3,2677.777777777778,771.9623863414109,17,target
116_pomper_saffran_2016_45,116,pomper_saffran_2016,45,0.8556209150326798,0.17791460757010813,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,2888.888888888889,650.0712211693366,3,2888.888888888889,650.0712211693366,3,2888.888888888889,650.0712211693366,20,target
117_pomper_saffran_2016_43,117,pomper_saffran_2016,43,0.941614576406437,0.07809588702766859,4,NA,NA,NA,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,3050,609.4928067512211,4,3050,609.4928067512211,4,3050,609.4928067512211,18,target
118_pomper_saffran_2016_42,118,pomper_saffran_2016,42,0.7463707132337472,0.28818895737079103,3,0.4386792452830189,0.060037368213952134,2,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,1961.1111111111113,1368.9344328642924,3,1744.4444444444446,1560.0332380124803,3,2177.777777777778,1263.2996184302147,17,target
119_pomper_saffran_2016_43,119,pomper_saffran_2016,43,1,0,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,3522.2222222222226,19.24500897298735,3,3522.2222222222226,19.24500897298735,3,3522.2222222222226,19.24500897298735,18,target
120_pomper_saffran_2016_42,120,pomper_saffran_2016,42,0.5659709618874773,0.4431288049795188,2,NA,NA,NA,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,1,2,983.3333333333334,683.536555146996,2,983.3333333333334,683.536555146996,2,983.3333333333334,683.536555146996,17,target
121_pomper_saffran_2016_42,121,pomper_saffran_2016,42,0.8616578152660627,0.10638425972824637,4,NA,NA,NA,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,2741.666666666667,594.028930583663,4,1716.6666666666667,1700.871236444124,4,2741.666666666667,594.028930583663,17,target
122_pomper_saffran_2016_44,122,pomper_saffran_2016,44,0.9426485148514852,0.08015047178672467,4,NA,NA,NA,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,3216.666666666667,425.57151116012346,4,3216.666666666667,425.57151116012346,4,3216.666666666667,425.57151116012346,19,target
123_pomper_saffran_2016_43,123,pomper_saffran_2016,43,0.7734823196605375,0.1416439129133891,5,0.5188679245283019,0,2,1.2,0.44721359549995793,5,0.4,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,5,5,2253.3333333333335,787.2596635023148,5,1920,1163.710540565059,5,2293.3333333333335,734.2418614537795,18,target
124_pomper_saffran_2016_42,124,pomper_saffran_2016,42,0.7666666666666666,0.3299831645537222,2,NA,NA,NA,2,0,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,3,2,1158.3333333333335,553.9003119294622,2,1066.6666666666667,754.2472332656507,2,1300,424.2640687119285,17,target
125_pomper_saffran_2016_43,125,pomper_saffran_2016,43,1,0,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,0,3,3533.3333333333335,0,3,3533.3333333333335,0,3,3533.3333333333335,0,18,target
126_pomper_saffran_2016_44,126,pomper_saffran_2016,44,0.8424735702220906,0.158979696008257,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,4,4,2420.8333333333335,887.0858449419065,4,1833.3333333333335,1343.571801276428,4,2450,843.9325934114776,19,target
127_pomper_saffran_2016_41,127,pomper_saffran_2016,41,0.74,NA,1,NA,NA,NA,2,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,2,1,1233.3333333333335,NA,1,533.3333333333334,NA,1,1933.3333333333335,NA,16,target
128_pomper_saffran_2016_47,128,pomper_saffran_2016,47,0.7408282828282828,0.17141340333049432,5,0.18396226415094338,0.006670818690439165,2,1.4,0.5477225575051661,5,0.2,0.44721359549995793,5,NA,NA,NA,NA,NA,NA,6,5,1986.6666666666667,986.4639431378681,5,1533.3333333333335,1274.7548783981963,5,2120,855.2452539736449,22,target
129_pomper_saffran_2016_45,129,pomper_saffran_2016,45,0.8339517625231911,0.2017790495012323,4,0.4245283018867924,0.08004982428526951,2,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,1716.6666666666667,500,4,1800,430.3314829119352,4,1800,430.3314829119352,20,target
130_pomper_saffran_2016_44,130,pomper_saffran_2016,44,0.9338235294117647,0.13235294117647056,4,NA,NA,NA,1.25,0.5,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,2,4,2954.166666666667,1136.2197720381257,4,2883.3333333333335,1277.874392482674,4,3025,994.5685831890462,19,target
131_pomper_saffran_2016_42,131,pomper_saffran_2016,42,0.982843137254902,0.03431372549019607,4,1,0,2,1,0,4,1,0,4,NA,NA,NA,NA,NA,NA,0,4,3441.666666666667,183.33333333333326,4,3441.666666666667,183.33333333333326,4,3441.666666666667,183.33333333333326,17,target
132_pomper_saffran_2016_41,132,pomper_saffran_2016,41,0.9166666666666666,0.14433756729740643,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,3144.444444444445,673.5753140545634,3,3144.444444444445,673.5753140545634,3,3144.444444444445,673.5753140545634,16,target
133_pomper_saffran_2016_45,133,pomper_saffran_2016,45,0.8180147058823529,0.007798971851322188,2,NA,NA,NA,1,0,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,2,2,2483.3333333333335,117.85113019775814,2,1316.6666666666667,1532.064692570853,2,2483.3333333333335,117.85113019775814,20,target
134_pomper_saffran_2016_44,134,pomper_saffran_2016,44,0.6028069153069153,0.1045963119412502,2,NA,NA,NA,1.5,0.7071067811865476,2,0,0,2,NA,NA,NA,NA,NA,NA,3,2,1475,506.75985985035913,2,1533.3333333333335,424.26406871192853,2,1533.3333333333335,424.26406871192853,19,target
135_pomper_saffran_2016_46,135,pomper_saffran_2016,46,0.8741496598639455,0.21797918326547094,3,0.37264150943396224,0.28684520368888244,2,1.6666666666666667,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,1277.7777777777778,244.00212506664164,3,1477.7777777777778,666.9443865981742,3,1622.2222222222224,462.2809791714382,21,target
136_pomper_saffran_2016_42,136,pomper_saffran_2016,42,0.7778459125585718,0.12168351569451168,4,0.33490566037735847,0.046695730833073885,2,1.75,0.5,4,0.25,0.5,4,NA,NA,NA,NA,NA,NA,6,4,1658.3333333333335,948.8296884993524,4,1666.6666666666667,988.8264649460885,4,1950,802.5422568775268,17,target
137_pomper_saffran_2016_45,137,pomper_saffran_2016,45,0.8451178451178452,0.2682637614416443,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,2944.4444444444443,1019.9854755683389,3,2944.4444444444443,1019.9854755683389,3,2944.4444444444443,1019.9854755683389,20,target
138_pomper_saffran_2016_43,138,pomper_saffran_2016,43,0.6851743997929205,0.3045078218881068,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2200,850.4900548115382,3,2200,850.4900548115382,3,2200,850.4900548115382,18,target
139_pomper_saffran_2016_45,139,pomper_saffran_2016,45,0.5451388888888888,0.5060756444153091,3,NA,NA,NA,1.5,0.7071067811865476,2,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2200,1885.6180831641268,2,2316.666666666667,1720.6265008872658,2,2316.666666666667,1720.6265008872658,20,target
