recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,0,casillas_tseltal_2015,14,0.7113699979266017,0.3566774389817268,14,NA,NA,NA,1.0714285714285714,0.2672612419124244,14,0.5714285714285714,0.5135525910130955,14,NA,NA,NA,NA,NA,NA,0.42857142857142855,14,2862.8571428571427,1522.5657928006242,14,2840,1540.1098861894438,14,2885.714285714286,1509.6699297208304,-11,target
1_1_casillas_tseltal_2015_22,1,casillas_tseltal_2015,22,0.7720704856146555,0.27561249006133376,10,NA,NA,NA,1.2,0.4216370213557839,10,0.6,0.5163977794943222,10,NA,NA,NA,NA,NA,NA,0.7,10,2902,1462.9179364847807,10,2692,1723.6705021552118,10,3028,1344.8899170151024,-3,target
2_2_casillas_tseltal_2015_45,2,casillas_tseltal_2015,45,0.729509515087552,0.20270313364641301,16,NA,NA,NA,1.5,0.5163977794943222,16,0.5,0.5163977794943222,16,NA,NA,NA,NA,NA,NA,1.375,16,2231.25,1318.887789010119,16,2172.5,1387.465314881781,16,2437.5,1216.2866986583933,20,target
3_3_casillas_tseltal_2015_22,3,casillas_tseltal_2015,22,0.801682869157405,0.3180324801105241,12,NA,NA,NA,1.3636363636363635,0.504524979109513,11,0.5833333333333334,0.5149286505444373,12,NA,NA,NA,NA,NA,NA,0.5833333333333334,12,2969.090909090909,1495.1485180105321,11,2606.6666666666665,1768.0669122124891,12,3094.5454545454545,1375.7060996910905,-3,target
4_4_casillas_tseltal_2015_45,4,casillas_tseltal_2015,45,0.6321913559358331,0.28454604501391334,10,NA,NA,NA,1.3,0.48304589153964794,10,0.3,0.48304589153964794,10,NA,NA,NA,NA,NA,NA,1,10,2082,1153.6396510368584,10,1796,1279.9236088315758,10,2212,1100.9571593239525,20,target
5_5_casillas_tseltal_2015_27,5,casillas_tseltal_2015,27,0.6220696782228123,0.24932429777883777,14,NA,NA,NA,1.3571428571428572,0.4972451580988469,14,0.35714285714285715,0.4972451580988469,14,NA,NA,NA,NA,NA,NA,1.2142857142857142,14,2165.714285714286,1314.1696078671725,14,2262.8571428571427,1241.8065535676305,14,2271.4285714285716,1231.6021906622107,2,target
6_6_casillas_tseltal_2015_39,6,casillas_tseltal_2015,39,0.862702691227402,0.2750118191507347,13,NA,NA,NA,1.2307692307692308,0.4385290096535146,13,0.7692307692307693,0.4385290096535146,13,NA,NA,NA,NA,NA,NA,0.3076923076923077,13,3150.769230769231,1358.4210291024253,13,3289.230769230769,1278.0353512224765,13,3289.230769230769,1278.0353512224765,14,target
7_7_casillas_tseltal_2015_25,7,casillas_tseltal_2015,25,0.9312195850764108,0.23742972154855604,17,NA,NA,NA,1.0625,0.25,16,0.9411764705882353,0.24253562503633297,17,NA,NA,NA,NA,NA,NA,0.058823529411764705,17,4033.75,568.9625060874691,16,4110,309.32183886689927,16,4110,309.32183886689927,0,target
8_8_casillas_tseltal_2015_14,8,casillas_tseltal_2015,14,0.7458322054271935,0.3278089291442392,12,NA,NA,NA,1.0909090909090908,0.30151134457776363,11,0.6666666666666666,0.49236596391733095,12,NA,NA,NA,NA,NA,NA,0.4166666666666667,12,3232.7272727272725,1377.2805880363733,11,2920,1663.6433184156665,12,3236.3636363636365,1370.4836571610238,-11,target
9_9_casillas_tseltal_2015_42,9,casillas_tseltal_2015,42,0.6434493384785838,0.24397432058374655,17,NA,NA,NA,1.25,0.44721359549995793,16,0.47058823529411764,0.5144957554275266,17,NA,NA,NA,NA,NA,NA,1.0588235294117647,17,2388.75,1120.5943363531098,16,2112.9411764705883,1381.7550646997931,17,2532.5,1021.8643093222635,17,target
