recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,1,0,casillas_tseltal_2015,14,wa,NA,NA,NA,tortilla,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,2,0,casillas_tseltal_2015,14,moch,NA,NA,NA,basket-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,3,0,casillas_tseltal_2015,14,pelota,NA,NA,NA,ball,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,4,0,casillas_tseltal_2015,14,chojak',NA,NA,NA,purse-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,5,0,casillas_tseltal_2015,14,baso,NA,NA,NA,cup,distractor,27,76,0.2621359223300971,NA,1,1,NA,490,2,1080,1080,1080,-11,all
0_0_casillas_tseltal_2015_14,6,0,casillas_tseltal_2015,14,nichim,NA,NA,NA,flower,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,all
0_0_casillas_tseltal_2015_14,7,0,casillas_tseltal_2015,14,balti,NA,NA,NA,bucket,distractor,15,86,0.1485148514851485,NA,1,0,NA,NA,1,600,600,600,-11,all
0_0_casillas_tseltal_2015_14,8,0,casillas_tseltal_2015,14,mut,NA,NA,NA,chicken,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,all
0_0_casillas_tseltal_2015_14,9,0,casillas_tseltal_2015,14,k'ajk',NA,NA,NA,fire,target,13,93,0.12264150943396226,NA,1,NA,0,NA,1,520,520,520,-11,all
0_0_casillas_tseltal_2015_14,10,0,casillas_tseltal_2015,14,mexa,NA,NA,NA,table,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,all
0_0_casillas_tseltal_2015_14,11,0,casillas_tseltal_2015,14,xawin,NA,NA,NA,cat,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,12,0,casillas_tseltal_2015,14,ja',NA,NA,NA,water,distractor,96,8,0.9230769230769231,NA,1,1,NA,215,0,3840,3840,3840,-11,all
0_0_casillas_tseltal_2015_14,13,0,casillas_tseltal_2015,14,ixim,NA,NA,NA,corn,target,96,8,0.9230769230769231,NA,2,NA,0,NA,0,1920,1600,2240,-11,all
0_0_casillas_tseltal_2015_14,14,0,casillas_tseltal_2015,14,karo,NA,NA,NA,car,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,all
0_0_casillas_tseltal_2015_14,15,0,casillas_tseltal_2015,14,na,NA,NA,NA,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,all
0_0_casillas_tseltal_2015_14,16,0,casillas_tseltal_2015,14,te,NA,NA,NA,tree,target,16,88,0.15384615384615385,NA,1,NA,0,NA,1,640,640,640,-11,all
0_0_casillas_tseltal_2015_14,17,0,casillas_tseltal_2015,14,waybal,NA,NA,NA,bed,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,all
0_0_casillas_tseltal_2015_14,18,0,casillas_tseltal_2015,14,t'inel,NA,NA,NA,doorway,distractor,22,80,0.21568627450980393,NA,1,1,NA,615,2,880,880,880,-11,all
