recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,1,0,casillas_tseltal_2015,14,wa,NA,NA,NA,tortilla,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,2,0,casillas_tseltal_2015,14,moch,NA,NA,NA,basket-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,3,0,casillas_tseltal_2015,14,pelota,NA,NA,NA,ball,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,4,0,casillas_tseltal_2015,14,chojak',NA,NA,NA,purse-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,5,0,casillas_tseltal_2015,14,baso,NA,NA,NA,cup,distractor,27,76,0.2621359223300971,NA,1,1,NA,490,2,1080,1080,1080,-11,distractor
0_0_casillas_tseltal_2015_14,7,0,casillas_tseltal_2015,14,balti,NA,NA,NA,bucket,distractor,15,86,0.1485148514851485,NA,1,0,NA,NA,1,600,600,600,-11,distractor
0_0_casillas_tseltal_2015_14,11,0,casillas_tseltal_2015,14,xawin,NA,NA,NA,cat,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,12,0,casillas_tseltal_2015,14,ja',NA,NA,NA,water,distractor,96,8,0.9230769230769231,NA,1,1,NA,215,1,3840,3840,3840,-11,distractor
0_0_casillas_tseltal_2015_14,15,0,casillas_tseltal_2015,14,na,NA,NA,NA,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,18,0,casillas_tseltal_2015,14,t'inel,NA,NA,NA,doorway,distractor,22,80,0.21568627450980393,NA,1,1,NA,615,2,880,880,880,-11,distractor
0_0_casillas_tseltal_2015_14,21,0,casillas_tseltal_2015,14,tz'i,NA,NA,NA,dog,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,22,0,casillas_tseltal_2015,14,tomut,NA,NA,NA,egg,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,27,0,casillas_tseltal_2015,14,mes,NA,NA,NA,broom,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,28,0,casillas_tseltal_2015,14,machit,NA,NA,NA,machete,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-11,distractor
0_0_casillas_tseltal_2015_14,29,0,casillas_tseltal_2015,14,si',NA,NA,NA,firewood,distractor,69,35,0.6634615384615384,NA,1,1,NA,940,1,2760,2760,2760,-11,distractor
1_1_casillas_tseltal_2015_22,2,1,casillas_tseltal_2015,22,moch,NA,NA,NA,basket-tseltal,distractor,35,66,0.3465346534653465,NA,1,1,NA,415,2,1400,1400,1400,-3,distractor
1_1_casillas_tseltal_2015_22,5,1,casillas_tseltal_2015,22,baso,NA,NA,NA,cup,distractor,70,32,0.6862745098039216,NA,1,1,NA,540,2,2800,2800,2800,-3,distractor
1_1_casillas_tseltal_2015_22,7,1,casillas_tseltal_2015,22,balti,NA,NA,NA,bucket,distractor,5,98,0.04854368932038835,NA,NA,0,NA,NA,0,NA,200,NA,-3,distractor
1_1_casillas_tseltal_2015_22,8,1,casillas_tseltal_2015,22,mut,NA,NA,NA,chicken,distractor,48,54,0.47058823529411764,NA,1,0,NA,NA,1,1920,1920,1920,-3,distractor
1_1_casillas_tseltal_2015_22,11,1,casillas_tseltal_2015,22,xawin,NA,NA,NA,cat,distractor,61,42,0.5922330097087378,NA,1,1,NA,1140,1,2440,2440,2440,-3,distractor
1_1_casillas_tseltal_2015_22,12,1,casillas_tseltal_2015,22,ja',NA,NA,NA,water,distractor,58,46,0.5576923076923077,NA,1,1,NA,1215,1,2320,2320,2320,-3,distractor
1_1_casillas_tseltal_2015_22,13,1,casillas_tseltal_2015,22,ixim,NA,NA,NA,corn,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,3160,3160,3160,-3,distractor
1_1_casillas_tseltal_2015_22,15,1,casillas_tseltal_2015,22,na,NA,NA,NA,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
1_1_casillas_tseltal_2015_22,16,1,casillas_tseltal_2015,22,te,NA,NA,NA,tree,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
1_1_casillas_tseltal_2015_22,17,1,casillas_tseltal_2015,22,waybal,NA,NA,NA,bed,distractor,46,52,0.46938775510204084,NA,2,1,NA,465,4,920,1200,1200,-3,distractor
1_1_casillas_tseltal_2015_22,18,1,casillas_tseltal_2015,22,t'inel,NA,NA,NA,doorway,distractor,52,53,0.49523809523809526,NA,1,1,NA,1365,1,2080,2080,2080,-3,distractor
1_1_casillas_tseltal_2015_22,20,1,casillas_tseltal_2015,22,chenek',NA,NA,NA,bean,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
1_1_casillas_tseltal_2015_22,22,1,casillas_tseltal_2015,22,tomut,NA,NA,NA,egg,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
1_1_casillas_tseltal_2015_22,25,1,casillas_tseltal_2015,22,ich,NA,NA,NA,chile,distractor,63,42,0.6,NA,1,1,NA,1090,1,2520,2520,2520,-3,distractor
1_1_casillas_tseltal_2015_22,26,1,casillas_tseltal_2015,22,xila,NA,NA,NA,chair,distractor,53,50,0.5145631067961165,NA,1,1,NA,1340,1,2120,2120,2120,-3,distractor
1_1_casillas_tseltal_2015_22,27,1,casillas_tseltal_2015,22,mes,NA,NA,NA,broom,distractor,40,64,0.38461538461538464,NA,1,0,NA,NA,1,1600,1600,1600,-3,distractor
1_1_casillas_tseltal_2015_22,28,1,casillas_tseltal_2015,22,machit,NA,NA,NA,machete,distractor,63,40,0.6116504854368932,NA,1,1,NA,1090,1,2520,2520,2520,-3,distractor
1_1_casillas_tseltal_2015_22,29,1,casillas_tseltal_2015,22,si',NA,NA,NA,firewood,distractor,26,77,0.2524271844660194,NA,1,0,NA,NA,1,1040,1040,1040,-3,distractor
1_1_casillas_tseltal_2015_22,30,1,casillas_tseltal_2015,22,bojch,NA,NA,NA,bowl-tseltal,distractor,77,26,0.7475728155339806,NA,1,1,NA,740,1,3080,3080,3080,-3,distractor
2_2_casillas_tseltal_2015_45,2,2,casillas_tseltal_2015,45,moch,NA,NA,NA,basket-tseltal,distractor,59,42,0.5841584158415841,NA,1,1,NA,690,2,2360,2360,2360,20,distractor
2_2_casillas_tseltal_2015_45,4,2,casillas_tseltal_2015,45,chojak',NA,NA,NA,purse-tseltal,distractor,47,47,0.5,NA,1,1,NA,565,2,1880,1880,1880,20,distractor
2_2_casillas_tseltal_2015_45,5,2,casillas_tseltal_2015,45,baso,NA,NA,NA,cup,distractor,70,26,0.7291666666666666,NA,2,1,NA,140,2,1400,2480,2480,20,distractor
2_2_casillas_tseltal_2015_45,7,2,casillas_tseltal_2015,45,balti,NA,NA,NA,bucket,distractor,51,48,0.5151515151515151,NA,1,1,NA,290,2,2040,2040,2040,20,distractor
2_2_casillas_tseltal_2015_45,9,2,casillas_tseltal_2015,45,k'ajk',NA,NA,NA,fire,distractor,68,34,0.6666666666666666,NA,1,1,NA,165,1,2720,2720,2720,20,distractor
2_2_casillas_tseltal_2015_45,13,2,casillas_tseltal_2015,45,ixim,NA,NA,NA,corn,distractor,59,39,0.6020408163265306,NA,2,1,NA,415,3,1180,1800,1800,20,distractor
2_2_casillas_tseltal_2015_45,16,2,casillas_tseltal_2015,45,te,NA,NA,NA,tree,distractor,61,31,0.6630434782608695,NA,1,1,NA,290,2,2440,2440,2440,20,distractor
2_2_casillas_tseltal_2015_45,19,2,casillas_tseltal_2015,45,lo'bal,NA,NA,NA,banana,distractor,63,10,0.863013698630137,NA,1,1,NA,765,1,2520,2520,2520,20,distractor
2_2_casillas_tseltal_2015_45,22,2,casillas_tseltal_2015,45,tomut,NA,NA,NA,egg,distractor,37,53,0.4111111111111111,NA,2,1,NA,65,2,740,1080,1080,20,distractor
2_2_casillas_tseltal_2015_45,24,2,casillas_tseltal_2015,45,tzek',NA,NA,NA,skirt-tseltal,distractor,64,36,0.64,NA,1,1,NA,490,2,2560,2560,2560,20,distractor
2_2_casillas_tseltal_2015_45,25,2,casillas_tseltal_2015,45,ich,NA,NA,NA,chile,distractor,86,14,0.86,NA,1,1,NA,340,1,3440,3440,3440,20,distractor
2_2_casillas_tseltal_2015_45,26,2,casillas_tseltal_2015,45,xila,NA,NA,NA,chair,distractor,69,32,0.6831683168316832,NA,1,1,NA,290,2,2760,2760,2760,20,distractor
2_2_casillas_tseltal_2015_45,29,2,casillas_tseltal_2015,45,si',NA,NA,NA,firewood,distractor,104,0,1,NA,1,1,NA,65,0,4160,4160,4160,20,distractor
2_2_casillas_tseltal_2015_45,30,2,casillas_tseltal_2015,45,bojch,NA,NA,NA,bowl-tseltal,distractor,74,30,0.7115384615384616,NA,1,1,NA,215,1,2960,2960,2960,20,distractor
3_3_casillas_tseltal_2015_22,1,3,casillas_tseltal_2015,22,wa,NA,NA,NA,tortilla,distractor,11,84,0.11578947368421053,NA,1,0,NA,NA,2,440,440,440,-3,distractor
3_3_casillas_tseltal_2015_22,4,3,casillas_tseltal_2015,22,chojak',NA,NA,NA,purse-tseltal,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
3_3_casillas_tseltal_2015_22,5,3,casillas_tseltal_2015,22,baso,NA,NA,NA,cup,distractor,88,16,0.8461538461538461,NA,1,1,NA,465,1,3520,3520,3520,-3,distractor
3_3_casillas_tseltal_2015_22,7,3,casillas_tseltal_2015,22,balti,NA,NA,NA,bucket,distractor,50,34,0.5952380952380952,NA,1,1,NA,890,1,2000,2000,2000,-3,distractor
3_3_casillas_tseltal_2015_22,11,3,casillas_tseltal_2015,22,xawin,NA,NA,NA,cat,distractor,34,69,0.3300970873786408,NA,1,0,NA,NA,1,1360,1360,1360,-3,distractor
3_3_casillas_tseltal_2015_22,13,3,casillas_tseltal_2015,22,ixim,NA,NA,NA,corn,distractor,61,43,0.5865384615384616,NA,1,1,NA,1140,1,2440,2440,2440,-3,distractor
3_3_casillas_tseltal_2015_22,15,3,casillas_tseltal_2015,22,na,NA,NA,NA,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
3_3_casillas_tseltal_2015_22,16,3,casillas_tseltal_2015,22,te,NA,NA,NA,tree,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
3_3_casillas_tseltal_2015_22,17,3,casillas_tseltal_2015,22,waybal,NA,NA,NA,bed,distractor,63,39,0.6176470588235294,NA,1,1,NA,490,2,2520,2520,2520,-3,distractor
3_3_casillas_tseltal_2015_22,19,3,casillas_tseltal_2015,22,lo'bal,NA,NA,NA,banana,distractor,22,80,0.21568627450980393,NA,1,0,NA,NA,2,880,880,880,-3,distractor
3_3_casillas_tseltal_2015_22,20,3,casillas_tseltal_2015,22,chenek',NA,NA,NA,bean,distractor,87,18,0.8285714285714286,NA,1,1,NA,490,1,3480,3480,3480,-3,distractor
3_3_casillas_tseltal_2015_22,21,3,casillas_tseltal_2015,22,tz'i,NA,NA,NA,dog,distractor,39,66,0.37142857142857144,NA,1,0,NA,NA,1,1560,1560,1560,-3,distractor
3_3_casillas_tseltal_2015_22,23,3,casillas_tseltal_2015,22,p'in,NA,NA,NA,pot-tseltal,distractor,36,66,0.35294117647058826,NA,1,0,NA,NA,1,1440,1440,1440,-3,distractor
3_3_casillas_tseltal_2015_22,24,3,casillas_tseltal_2015,22,tzek',NA,NA,NA,skirt-tseltal,distractor,4,99,0.038834951456310676,NA,NA,0,NA,NA,0,NA,NA,NA,-3,distractor
3_3_casillas_tseltal_2015_22,27,3,casillas_tseltal_2015,22,mes,NA,NA,NA,broom,distractor,88,2,0.9777777777777777,NA,1,1,NA,465,0,3520,3520,3520,-3,distractor
3_3_casillas_tseltal_2015_22,28,3,casillas_tseltal_2015,22,machit,NA,NA,NA,machete,distractor,15,90,0.14285714285714285,NA,1,0,NA,NA,1,600,600,600,-3,distractor
4_4_casillas_tseltal_2015_45,1,4,casillas_tseltal_2015,45,wa,NA,NA,NA,tortilla,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,20,distractor
4_4_casillas_tseltal_2015_45,2,4,casillas_tseltal_2015,45,moch,NA,NA,NA,basket-tseltal,distractor,84,21,0.8,NA,1,1,NA,565,1,3360,3360,3360,20,distractor
4_4_casillas_tseltal_2015_45,4,4,casillas_tseltal_2015,45,chojak',NA,NA,NA,purse-tseltal,distractor,29,71,0.29,NA,1,1,NA,365,2,1160,1160,1160,20,distractor
4_4_casillas_tseltal_2015_45,5,4,casillas_tseltal_2015,45,baso,NA,NA,NA,cup,distractor,98,6,0.9423076923076923,NA,1,1,NA,215,0,3920,3920,3920,20,distractor
4_4_casillas_tseltal_2015_45,7,4,casillas_tseltal_2015,45,balti,NA,NA,NA,bucket,distractor,56,47,0.5436893203883495,NA,1,1,NA,340,2,2240,2240,2240,20,distractor
4_4_casillas_tseltal_2015_45,8,4,casillas_tseltal_2015,45,mut,NA,NA,NA,chicken,distractor,53,38,0.5824175824175825,NA,2,1,NA,540,3,1060,640,1480,20,distractor
4_4_casillas_tseltal_2015_45,9,4,casillas_tseltal_2015,45,k'ajk',NA,NA,NA,fire,distractor,67,29,0.6979166666666666,NA,1,1,NA,290,2,2680,2680,2680,20,distractor
4_4_casillas_tseltal_2015_45,10,4,casillas_tseltal_2015,45,mexa,NA,NA,NA,table,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,4040,4040,4040,20,distractor
4_4_casillas_tseltal_2015_45,11,4,casillas_tseltal_2015,45,xawin,NA,NA,NA,cat,distractor,44,58,0.43137254901960786,NA,1,1,NA,265,2,1760,1760,1760,20,distractor
4_4_casillas_tseltal_2015_45,16,4,casillas_tseltal_2015,45,te,NA,NA,NA,tree,distractor,65,24,0.7303370786516854,NA,1,1,NA,665,1,2600,2600,2600,20,distractor
4_4_casillas_tseltal_2015_45,17,4,casillas_tseltal_2015,45,waybal,NA,NA,NA,bed,distractor,85,19,0.8173076923076923,NA,1,1,NA,540,1,3400,3400,3400,20,distractor
