recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,6,0,casillas_tseltal_2015,14,nichim,flower,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,8,0,casillas_tseltal_2015,14,mut,chicken,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,9,0,casillas_tseltal_2015,14,k'ajk',fire,target,13,93,0.12264150943396226,NA,1,NA,0,NA,1,520,520,520,-11,target
0_0_casillas_tseltal_2015_14,10,0,casillas_tseltal_2015,14,mexa,table,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,13,0,casillas_tseltal_2015,14,ixim,corn,target,96,8,0.9230769230769231,NA,2,NA,0,NA,0,1920,1600,2240,-11,target
0_0_casillas_tseltal_2015_14,14,0,casillas_tseltal_2015,14,karo,car,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,16,0,casillas_tseltal_2015,14,te,tree,target,16,88,0.15384615384615385,NA,1,NA,0,NA,1,640,640,640,-11,target
0_0_casillas_tseltal_2015_14,17,0,casillas_tseltal_2015,14,waybal,bed,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,19,0,casillas_tseltal_2015,14,lo'bal,banana,target,35,69,0.33653846153846156,NA,1,NA,0,NA,1,1400,1400,1400,-11,target
0_0_casillas_tseltal_2015_14,20,0,casillas_tseltal_2015,14,chenek',bean,target,70,34,0.6730769230769231,NA,1,NA,1,NA,1,2800,2800,2800,-11,target
0_0_casillas_tseltal_2015_14,23,0,casillas_tseltal_2015,14,p'in,pot-tseltal,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,24,0,casillas_tseltal_2015,14,tzek',skirt-tseltal,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-11,target
0_0_casillas_tseltal_2015_14,25,0,casillas_tseltal_2015,14,ich,chile,target,38,66,0.36538461538461536,NA,1,NA,0,NA,1,1520,1520,1520,-11,target
0_0_casillas_tseltal_2015_14,26,0,casillas_tseltal_2015,14,xila,chair,target,40,64,0.38461538461538464,NA,1,NA,0,NA,1,1600,1600,1600,-11,target
1_1_casillas_tseltal_2015_22,1,1,casillas_tseltal_2015,22,wa,tortilla,target,70,35,0.6666666666666666,NA,2,NA,0,NA,2,1400,720,2080,-3,target
1_1_casillas_tseltal_2015_22,3,1,casillas_tseltal_2015,22,pelota,ball,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
1_1_casillas_tseltal_2015_22,4,1,casillas_tseltal_2015,22,chojak',purse-tseltal,target,27,76,0.2621359223300971,NA,1,NA,0,NA,1,1080,1080,1080,-3,target
1_1_casillas_tseltal_2015_22,6,1,casillas_tseltal_2015,22,nichim,flower,target,64,40,0.6153846153846154,NA,1,NA,1,NA,1,2560,2560,2560,-3,target
1_1_casillas_tseltal_2015_22,9,1,casillas_tseltal_2015,22,k'ajk',fire,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
1_1_casillas_tseltal_2015_22,14,1,casillas_tseltal_2015,22,karo,car,target,77,24,0.7623762376237624,NA,2,NA,0,NA,2,1540,960,2120,-3,target
1_1_casillas_tseltal_2015_22,19,1,casillas_tseltal_2015,22,lo'bal,banana,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
1_1_casillas_tseltal_2015_22,21,1,casillas_tseltal_2015,22,tz'i,dog,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
1_1_casillas_tseltal_2015_22,23,1,casillas_tseltal_2015,22,p'in,pot-tseltal,target,41,58,0.41414141414141414,NA,1,NA,0,NA,1,1240,400,1240,-3,target
1_1_casillas_tseltal_2015_22,24,1,casillas_tseltal_2015,22,tzek',skirt-tseltal,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
2_2_casillas_tseltal_2015_45,1,2,casillas_tseltal_2015,45,wa,tortilla,target,37,55,0.40217391304347827,NA,1,NA,0,NA,3,640,440,640,20,target
2_2_casillas_tseltal_2015_45,3,2,casillas_tseltal_2015,45,pelota,ball,target,74,17,0.8131868131868132,NA,2,NA,1,NA,2,1480,2240,2240,20,target
2_2_casillas_tseltal_2015_45,6,2,casillas_tseltal_2015,45,nichim,flower,target,85,17,0.8333333333333334,NA,2,NA,1,NA,2,1700,2160,2160,20,target
2_2_casillas_tseltal_2015_45,8,2,casillas_tseltal_2015,45,mut,chicken,target,62,38,0.62,NA,2,NA,0,NA,2,1240,1520,1520,20,target
2_2_casillas_tseltal_2015_45,10,2,casillas_tseltal_2015,45,mexa,table,target,82,16,0.8367346938775511,NA,1,NA,0,NA,0,3280,3280,3280,20,target
2_2_casillas_tseltal_2015_45,11,2,casillas_tseltal_2015,45,xawin,cat,target,46,50,0.4791666666666667,NA,2,NA,0,NA,2,920,1000,1000,20,target
2_2_casillas_tseltal_2015_45,12,2,casillas_tseltal_2015,45,ja',water,target,44,60,0.4230769230769231,NA,2,NA,0,NA,3,880,720,1040,20,target
2_2_casillas_tseltal_2015_45,14,2,casillas_tseltal_2015,45,karo,car,target,75,24,0.7575757575757576,NA,1,NA,1,NA,1,2680,2680,2680,20,target
2_2_casillas_tseltal_2015_45,15,2,casillas_tseltal_2015,45,na,house,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,20,target
2_2_casillas_tseltal_2015_45,17,2,casillas_tseltal_2015,45,waybal,bed,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,20,target
2_2_casillas_tseltal_2015_45,18,2,casillas_tseltal_2015,45,t'inel,doorway,target,78,24,0.7647058823529411,NA,2,NA,1,NA,2,1560,2640,2640,20,target
2_2_casillas_tseltal_2015_45,20,2,casillas_tseltal_2015,45,chenek',bean,target,91,13,0.875,NA,1,NA,0,NA,1,3200,440,3200,20,target
2_2_casillas_tseltal_2015_45,21,2,casillas_tseltal_2015,45,tz'i,dog,target,56,45,0.5544554455445545,NA,2,NA,0,NA,2,1120,880,1360,20,target
2_2_casillas_tseltal_2015_45,23,2,casillas_tseltal_2015,45,p'in,pot-tseltal,target,94,10,0.9038461538461539,NA,1,NA,1,NA,0,3760,3760,3760,20,target
2_2_casillas_tseltal_2015_45,27,2,casillas_tseltal_2015,45,mes,broom,target,50,49,0.5050505050505051,NA,2,NA,0,NA,2,1000,760,1240,20,target
2_2_casillas_tseltal_2015_45,28,2,casillas_tseltal_2015,45,machit,machete,target,94,10,0.9038461538461539,NA,1,NA,1,NA,0,3760,3760,3760,20,target
3_3_casillas_tseltal_2015_22,2,3,casillas_tseltal_2015,22,moch,basket-tseltal,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,3,3,casillas_tseltal_2015,22,pelota,ball,target,74,28,0.7254901960784313,NA,2,NA,0,NA,2,1480,1280,1680,-3,target
3_3_casillas_tseltal_2015_22,6,3,casillas_tseltal_2015,22,nichim,flower,target,89,11,0.89,NA,2,NA,0,NA,0,1780,1360,2200,-3,target
3_3_casillas_tseltal_2015_22,8,3,casillas_tseltal_2015,22,mut,chicken,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,9,3,casillas_tseltal_2015,22,k'ajk',fire,target,10,93,0.0970873786407767,NA,NA,NA,0,NA,0,NA,240,NA,-3,target
3_3_casillas_tseltal_2015_22,10,3,casillas_tseltal_2015,22,mexa,table,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,12,3,casillas_tseltal_2015,22,ja',water,target,98,0,1,NA,2,NA,1,NA,0,1960,2000,2000,-3,target
3_3_casillas_tseltal_2015_22,14,3,casillas_tseltal_2015,22,karo,car,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,22,3,casillas_tseltal_2015,22,tomut,egg,target,24,73,0.24742268041237114,NA,1,NA,0,NA,2,640,320,640,-3,target
3_3_casillas_tseltal_2015_22,25,3,casillas_tseltal_2015,22,ich,chile,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,26,3,casillas_tseltal_2015,22,xila,chair,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,target
3_3_casillas_tseltal_2015_22,30,3,casillas_tseltal_2015,22,bojch,bowl-tseltal,target,68,35,0.6601941747572816,NA,2,NA,0,NA,3,1360,640,2080,-3,target
4_4_casillas_tseltal_2015_45,3,4,casillas_tseltal_2015,45,pelota,ball,target,37,61,0.37755102040816324,NA,2,NA,0,NA,1,740,760,760,20,target
4_4_casillas_tseltal_2015_45,6,4,casillas_tseltal_2015,45,nichim,flower,target,70,29,0.7070707070707071,NA,2,NA,0,NA,3,1400,560,2240,20,target
4_4_casillas_tseltal_2015_45,12,4,casillas_tseltal_2015,45,ja',water,target,42,63,0.4,NA,1,NA,0,NA,1,1680,1680,1680,20,target
4_4_casillas_tseltal_2015_45,14,4,casillas_tseltal_2015,45,karo,car,target,90,0,1,NA,1,NA,1,NA,0,3400,3400,3400,20,target
4_4_casillas_tseltal_2015_45,15,4,casillas_tseltal_2015,45,na,house,target,87,10,0.8969072164948454,NA,1,NA,0,NA,0,2880,400,2880,20,target
4_4_casillas_tseltal_2015_45,21,4,casillas_tseltal_2015,45,tz'i,dog,target,70,30,0.7,NA,2,NA,0,NA,2,1400,1840,1840,20,target
4_4_casillas_tseltal_2015_45,25,4,casillas_tseltal_2015,45,ich,chile,target,83,21,0.7980769230769231,NA,1,NA,1,NA,1,3320,3320,3320,20,target
4_4_casillas_tseltal_2015_45,26,4,casillas_tseltal_2015,45,xila,chair,target,32,72,0.3076923076923077,NA,1,NA,0,NA,1,1280,1280,1280,20,target
4_4_casillas_tseltal_2015_45,28,4,casillas_tseltal_2015,45,machit,machete,target,22,82,0.21153846153846154,NA,1,NA,0,NA,1,880,880,880,20,target
4_4_casillas_tseltal_2015_45,29,4,casillas_tseltal_2015,45,si',firewood,target,96,8,0.9230769230769231,NA,1,NA,1,NA,0,3840,3840,3840,20,target
5_5_casillas_tseltal_2015_27,1,5,casillas_tseltal_2015,27,wa,tortilla,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,2,target
5_5_casillas_tseltal_2015_27,2,5,casillas_tseltal_2015,27,moch,basket-tseltal,target,50,53,0.4854368932038835,NA,2,NA,0,NA,2,1000,1480,1480,2,target
5_5_casillas_tseltal_2015_27,3,5,casillas_tseltal_2015,27,pelota,ball,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,2,target
5_5_casillas_tseltal_2015_27,6,5,casillas_tseltal_2015,27,nichim,flower,target,79,24,0.7669902912621359,NA,2,NA,0,NA,2,1580,1720,1720,2,target
5_5_casillas_tseltal_2015_27,11,5,casillas_tseltal_2015,27,xawin,cat,target,41,61,0.4019607843137255,NA,1,NA,0,NA,1,1480,1480,1480,2,target
5_5_casillas_tseltal_2015_27,12,5,casillas_tseltal_2015,27,ja',water,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,2,target
5_5_casillas_tseltal_2015_27,13,5,casillas_tseltal_2015,27,ixim,corn,target,26,76,0.2549019607843137,NA,1,NA,0,NA,1,1040,1040,1040,2,target
5_5_casillas_tseltal_2015_27,14,5,casillas_tseltal_2015,27,karo,car,target,82,23,0.780952380952381,NA,1,NA,1,NA,1,3280,3280,3280,2,target
5_5_casillas_tseltal_2015_27,15,5,casillas_tseltal_2015,27,na,house,target,53,52,0.5047619047619047,NA,1,NA,0,NA,1,2120,2120,2120,2,target
5_5_casillas_tseltal_2015_27,17,5,casillas_tseltal_2015,27,waybal,bed,target,37,68,0.3523809523809524,NA,1,NA,0,NA,1,1480,1480,1480,2,target
5_5_casillas_tseltal_2015_27,24,5,casillas_tseltal_2015,27,tzek',skirt-tseltal,target,45,57,0.4411764705882353,NA,2,NA,0,NA,3,900,840,960,2,target
5_5_casillas_tseltal_2015_27,25,5,casillas_tseltal_2015,27,ich,chile,target,58,45,0.5631067961165048,NA,2,NA,0,NA,2,1160,1680,1680,2,target
5_5_casillas_tseltal_2015_27,27,5,casillas_tseltal_2015,27,mes,broom,target,66,39,0.6285714285714286,NA,1,NA,1,NA,1,2640,2640,2640,2,target
5_5_casillas_tseltal_2015_27,29,5,casillas_tseltal_2015,27,si',firewood,target,46,41,0.5287356321839081,NA,2,NA,0,NA,2,920,1200,1200,2,target
6_6_casillas_tseltal_2015_39,1,6,casillas_tseltal_2015,39,wa,tortilla,target,95,0,1,NA,1,NA,1,NA,0,3680,3680,3680,14,target
6_6_casillas_tseltal_2015_39,2,6,casillas_tseltal_2015,39,moch,basket-tseltal,target,103,0,1,NA,2,NA,1,NA,0,2060,2240,2240,14,target
6_6_casillas_tseltal_2015_39,3,6,casillas_tseltal_2015,39,pelota,ball,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
6_6_casillas_tseltal_2015_39,7,6,casillas_tseltal_2015,39,balti,bucket,target,98,5,0.9514563106796117,NA,1,NA,1,NA,0,3920,3920,3920,14,target
6_6_casillas_tseltal_2015_39,8,6,casillas_tseltal_2015,39,mut,chicken,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
6_6_casillas_tseltal_2015_39,9,6,casillas_tseltal_2015,39,k'ajk',fire,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
6_6_casillas_tseltal_2015_39,12,6,casillas_tseltal_2015,39,ja',water,target,51,53,0.49038461538461536,NA,1,NA,0,NA,1,2040,2040,2040,14,target
6_6_casillas_tseltal_2015_39,13,6,casillas_tseltal_2015,39,ixim,corn,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
6_6_casillas_tseltal_2015_39,15,6,casillas_tseltal_2015,39,na,house,target,13,92,0.12380952380952381,NA,1,NA,0,NA,1,520,520,520,14,target
6_6_casillas_tseltal_2015_39,19,6,casillas_tseltal_2015,39,lo'bal,banana,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
6_6_casillas_tseltal_2015_39,21,6,casillas_tseltal_2015,39,tz'i,dog,target,63,34,0.6494845360824743,NA,2,NA,0,NA,2,1260,1480,1480,14,target
6_6_casillas_tseltal_2015_39,26,6,casillas_tseltal_2015,39,xila,chair,target,102,0,1,NA,2,NA,1,NA,0,2040,3440,3440,14,target
6_6_casillas_tseltal_2015_39,27,6,casillas_tseltal_2015,39,mes,broom,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,14,target
7_7_casillas_tseltal_2015_25,5,7,casillas_tseltal_2015,25,baso,cup,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,0,target
7_7_casillas_tseltal_2015_25,6,7,casillas_tseltal_2015,25,nichim,flower,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,0,target
7_7_casillas_tseltal_2015_25,10,7,casillas_tseltal_2015,25,mexa,table,target,85,21,0.8018867924528302,NA,1,NA,1,NA,1,3400,3400,3400,0,target
