recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
108_108_pomper_saffran_2016_46,1,108,pomper_saffran_2016,46,orange,orange,neither,87,15,0.8529411764705882,NA,2,NA,NA,NA,2,1450,1500,1500,21,all
108_108_pomper_saffran_2016_46,2,108,pomper_saffran_2016,46,red,red,target,87,17,0.8365384615384616,NA,1,NA,1,NA,1,2900,2900,2900,21,all
108_108_pomper_saffran_2016_46,3,108,pomper_saffran_2016,46,yellow,yellow,target,106,0,1,0.6603773584905661,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,21,all
108_108_pomper_saffran_2016_46,4,108,pomper_saffran_2016,46,white,white,distractor,77,22,0.7777777777777778,0.5754716981132075,1,1,NA,615,1,2566.666666666667,2566.666666666667,2566.666666666667,21,all
108_108_pomper_saffran_2016_46,5,108,pomper_saffran_2016,46,red,red,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,21,all
108_108_pomper_saffran_2016_46,6,108,pomper_saffran_2016,46,black,black,distractor,69,36,0.6571428571428571,0.6509433962264151,1,1,NA,940,1,2300,2300,2300,21,all
108_108_pomper_saffran_2016_46,7,108,pomper_saffran_2016,46,orange,orange,target,59,0,1,NA,1,NA,1,NA,0,1966.6666666666667,1966.6666666666667,1966.6666666666667,21,all
108_108_pomper_saffran_2016_46,8,108,pomper_saffran_2016,46,brown,brown,neither,83,16,0.8383838383838383,0.5754716981132075,1,NA,NA,NA,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,21,all
109_109_pomper_saffran_2016_43,9,109,pomper_saffran_2016,43,green,green,distractor,88,9,0.9072164948453608,NA,2,1,NA,140,0,1466.6666666666667,1000.0000000000001,1933.3333333333335,18,all
109_109_pomper_saffran_2016_43,10,109,pomper_saffran_2016,43,blue,blue,target,86,14,0.86,NA,1,NA,0,NA,1,2866.666666666667,2866.666666666667,2866.666666666667,18,all
109_109_pomper_saffran_2016_43,11,109,pomper_saffran_2016,43,black,black,target,106,0,1,0.7641509433962264,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
109_109_pomper_saffran_2016_43,12,109,pomper_saffran_2016,43,brown,brown,distractor,86,17,0.8349514563106796,0.3584905660377359,1,1,NA,515,1,2866.666666666667,2866.666666666667,2866.666666666667,18,all
109_109_pomper_saffran_2016_43,13,109,pomper_saffran_2016,43,yellow,yellow,target,77,25,0.7549019607843137,0.7264150943396226,1,NA,1,NA,1,2566.666666666667,2566.666666666667,2566.666666666667,18,all
109_109_pomper_saffran_2016_43,14,109,pomper_saffran_2016,43,green,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,18,all
109_109_pomper_saffran_2016_43,15,109,pomper_saffran_2016,43,white,white,distractor,54,48,0.5294117647058824,0.34905660377358494,1,1,NA,540,2,1800.0000000000002,1800.0000000000002,1800.0000000000002,18,all
109_109_pomper_saffran_2016_43,16,109,pomper_saffran_2016,43,blue,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,18,all
110_110_pomper_saffran_2016_47,1,110,pomper_saffran_2016,47,blue,blue,target,56,34,0.6222222222222222,NA,1,NA,0,NA,1,1866.6666666666667,1866.6666666666667,1866.6666666666667,22,all
110_110_pomper_saffran_2016_47,2,110,pomper_saffran_2016,47,green,green,target,58,0,1,NA,2,NA,1,NA,0,966.6666666666667,700,1233.3333333333335,22,all
110_110_pomper_saffran_2016_47,3,110,pomper_saffran_2016,47,black,black,distractor,70,33,0.6796116504854369,0.660377358490566,1,1,NA,915,1,2333.3333333333335,2333.3333333333335,2333.3333333333335,22,all
110_110_pomper_saffran_2016_47,4,110,pomper_saffran_2016,47,brown,brown,distractor,98,4,0.9607843137254902,0.46226415094339623,1,1,NA,215,0,3266.666666666667,3266.666666666667,3266.666666666667,22,all
110_110_pomper_saffran_2016_47,5,110,pomper_saffran_2016,47,green,green,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,22,all
110_110_pomper_saffran_2016_47,6,110,pomper_saffran_2016,47,yellow,yellow,distractor,103,0,1,0.6603773584905661,1,1,NA,90,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,22,all
110_110_pomper_saffran_2016_47,7,110,pomper_saffran_2016,47,blue,blue,distractor,105,0,1,NA,1,1,NA,40,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,22,all
110_110_pomper_saffran_2016_47,8,110,pomper_saffran_2016,47,white,white,target,53,49,0.5196078431372549,0.46226415094339623,1,NA,0,NA,1,1766.6666666666667,1766.6666666666667,1766.6666666666667,22,all
111_111_pomper_saffran_2016_42,9,111,pomper_saffran_2016,42,red,red,distractor,86,17,0.8349514563106796,NA,1,1,NA,515,1,2866.666666666667,2866.666666666667,2866.666666666667,17,all
111_111_pomper_saffran_2016_42,10,111,pomper_saffran_2016,42,orange,orange,target,82,18,0.82,NA,1,NA,0,NA,1,2600,2600,2600,17,all
111_111_pomper_saffran_2016_42,11,111,pomper_saffran_2016,42,yellow,yellow,neither,91,0,1,0.6132075471698113,1,NA,NA,NA,0,3033.3333333333335,3033.3333333333335,3033.3333333333335,17,all
111_111_pomper_saffran_2016_42,12,111,pomper_saffran_2016,42,white,white,target,53,44,0.5463917525773195,0.39622641509433965,2,NA,0,NA,1,883.3333333333334,800,966.6666666666667,17,all
111_111_pomper_saffran_2016_42,13,111,pomper_saffran_2016,42,black,black,distractor,68,26,0.723404255319149,0.6415094339622641,1,1,NA,340,1,2266.666666666667,2266.666666666667,2266.666666666667,17,all
111_111_pomper_saffran_2016_42,14,111,pomper_saffran_2016,42,red,red,target,79,21,0.79,NA,2,NA,0,NA,2,1316.6666666666667,666.6666666666667,1966.6666666666667,17,all
