recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
108_108_pomper_saffran_2016_46,4,108,pomper_saffran_2016,46,white,white,brown,brown-white,white,distractor,77,22,0.7777777777777778,NA,1,1,NA,615,1,2566.666666666667,2566.666666666667,2566.666666666667,21,distractor
108_108_pomper_saffran_2016_46,5,108,pomper_saffran_2016,46,red,red,green,green-red,red,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,21,distractor
108_108_pomper_saffran_2016_46,6,108,pomper_saffran_2016,46,black,black,yellow,black-yellow,black,distractor,69,36,0.6571428571428571,NA,1,1,NA,940,1,2300,2300,2300,21,distractor
109_109_pomper_saffran_2016_43,9,109,pomper_saffran_2016,43,green,green,red,green-red,green,distractor,88,9,0.9072164948453608,NA,2,1,NA,140,2,1466.6666666666667,1000.0000000000001,1933.3333333333335,18,distractor
109_109_pomper_saffran_2016_43,12,109,pomper_saffran_2016,43,brown,brown,white,brown-white,brown,distractor,86,17,0.8349514563106796,0.3584905660377359,1,1,NA,515,1,2866.666666666667,2866.666666666667,2866.666666666667,18,distractor
109_109_pomper_saffran_2016_43,14,109,pomper_saffran_2016,43,green,green,red,green-red,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,18,distractor
109_109_pomper_saffran_2016_43,15,109,pomper_saffran_2016,43,white,white,brown,brown-white,white,distractor,54,48,0.5294117647058824,0.34905660377358494,1,1,NA,540,2,1800.0000000000002,1800.0000000000002,1800.0000000000002,18,distractor
109_109_pomper_saffran_2016_43,16,109,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,18,distractor
110_110_pomper_saffran_2016_47,3,110,pomper_saffran_2016,47,black,black,yellow,black-yellow,black,distractor,70,33,0.6796116504854369,0.660377358490566,1,1,NA,915,1,2333.3333333333335,2333.3333333333335,2333.3333333333335,22,distractor
110_110_pomper_saffran_2016_47,4,110,pomper_saffran_2016,47,brown,brown,white,brown-white,brown,distractor,98,4,0.9607843137254902,NA,1,1,NA,215,0,3266.666666666667,3266.666666666667,3266.666666666667,22,distractor
110_110_pomper_saffran_2016_47,6,110,pomper_saffran_2016,47,yellow,yellow,black,black-yellow,yellow,distractor,103,0,1,0.6603773584905661,1,1,NA,90,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,22,distractor
110_110_pomper_saffran_2016_47,7,110,pomper_saffran_2016,47,blue,blue,orange,blue-orange,blue,distractor,105,0,1,NA,1,1,NA,40,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,22,distractor
111_111_pomper_saffran_2016_42,9,111,pomper_saffran_2016,42,red,red,green,green-red,red,distractor,86,17,0.8349514563106796,NA,1,1,NA,515,1,2866.666666666667,2866.666666666667,2866.666666666667,17,distractor
111_111_pomper_saffran_2016_42,13,111,pomper_saffran_2016,42,black,black,yellow,black-yellow,black,distractor,68,26,0.723404255319149,NA,1,1,NA,340,2,2266.666666666667,2266.666666666667,2266.666666666667,17,distractor
111_111_pomper_saffran_2016_42,16,111,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,28,66,0.2978723404255319,NA,2,1,NA,390,2,466.6666666666667,600,600,17,distractor
112_112_pomper_saffran_2016_43,2,112,pomper_saffran_2016,43,red,red,green,green-red,red,distractor,92,11,0.8932038834951457,NA,1,1,NA,15,1,3066.666666666667,3066.666666666667,3066.666666666667,18,distractor
112_112_pomper_saffran_2016_43,3,112,pomper_saffran_2016,43,yellow,yellow,black,black-yellow,yellow,distractor,61,0,1,0.5754716981132075,1,1,NA,90,0,2033.3333333333335,2033.3333333333335,2033.3333333333335,18,distractor
112_112_pomper_saffran_2016_43,4,112,pomper_saffran_2016,43,white,white,brown,brown-white,white,distractor,45,33,0.5769230769230769,0.28301886792452835,1,1,NA,115,1,1500,1500,1500,18,distractor
112_112_pomper_saffran_2016_43,6,112,pomper_saffran_2016,43,black,black,yellow,black-yellow,black,distractor,105,0,1,0.9905660377358491,1,1,NA,40,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,18,distractor
112_112_pomper_saffran_2016_43,8,112,pomper_saffran_2016,43,brown,brown,white,brown-white,brown,distractor,75,15,0.8333333333333334,0.3962264150943396,1,1,NA,140,1,2500,2500,2500,18,distractor
113_113_pomper_saffran_2016_42,1,113,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,87,16,0.8446601941747572,NA,1,1,NA,490,1,2900,2900,2900,17,distractor
113_113_pomper_saffran_2016_42,2,113,pomper_saffran_2016,42,blue,blue,orange,blue-orange,blue,distractor,67,13,0.8375,NA,1,1,NA,415,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,17,distractor
113_113_pomper_saffran_2016_42,3,113,pomper_saffran_2016,42,black,black,yellow,black-yellow,black,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,2766.666666666667,2766.666666666667,2766.666666666667,17,distractor
113_113_pomper_saffran_2016_42,4,113,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,40,34,0.5405405405405406,NA,1,1,NA,190,1,1333.3333333333335,1333.3333333333335,1333.3333333333335,17,distractor
114_114_pomper_saffran_2016_42,10,114,pomper_saffran_2016,42,blue,blue,orange,blue-orange,blue,distractor,41,63,0.3942307692307692,NA,1,0,NA,NA,1,1366.6666666666667,1366.6666666666667,1366.6666666666667,17,distractor
114_114_pomper_saffran_2016_42,13,114,pomper_saffran_2016,42,yellow,yellow,black,black-yellow,yellow,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,17,distractor
114_114_pomper_saffran_2016_42,14,114,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,17,distractor
114_114_pomper_saffran_2016_42,15,114,pomper_saffran_2016,42,white,white,brown,brown-white,white,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,distractor
115_115_pomper_saffran_2016_42,9,115,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,distractor
