recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
108_pomper_saffran_2016_46,2,108,pomper_saffran_2016,46,red,red,target,87,17,0.8365384615384616,NA,1,NA,1,NA,1,2900,2900,2900,21,target
108_pomper_saffran_2016_46,3,108,pomper_saffran_2016,46,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,21,target
108_pomper_saffran_2016_46,7,108,pomper_saffran_2016,46,orange,orange,target,59,0,1,NA,1,NA,1,NA,0,1966.6666666666667,1966.6666666666667,1966.6666666666667,21,target
109_pomper_saffran_2016_43,10,109,pomper_saffran_2016,43,blue,blue,target,86,14,0.86,NA,1,NA,0,NA,1,2866.666666666667,2866.666666666667,2866.666666666667,18,target
109_pomper_saffran_2016_43,11,109,pomper_saffran_2016,43,black,black,target,106,0,1,0.7641509433962264,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
109_pomper_saffran_2016_43,13,109,pomper_saffran_2016,43,yellow,yellow,target,77,25,0.7549019607843137,0.7264150943396226,1,NA,1,NA,1,2566.666666666667,2566.666666666667,2566.666666666667,18,target
110_pomper_saffran_2016_47,1,110,pomper_saffran_2016,47,blue,blue,target,56,34,0.6222222222222222,NA,1,NA,0,NA,1,1866.6666666666667,1866.6666666666667,1866.6666666666667,22,target
110_pomper_saffran_2016_47,2,110,pomper_saffran_2016,47,green,green,target,58,0,1,NA,2,NA,1,NA,0,966.6666666666667,700,1233.3333333333335,22,target
110_pomper_saffran_2016_47,5,110,pomper_saffran_2016,47,green,green,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,22,target
110_pomper_saffran_2016_47,8,110,pomper_saffran_2016,47,white,white,target,53,49,0.5196078431372549,NA,1,NA,0,NA,1,1766.6666666666667,1766.6666666666667,1766.6666666666667,22,target
111_pomper_saffran_2016_42,10,111,pomper_saffran_2016,42,orange,orange,target,82,18,0.82,NA,1,NA,0,NA,1,2600,2600,2600,17,target
111_pomper_saffran_2016_42,12,111,pomper_saffran_2016,42,white,white,target,53,44,0.5463917525773195,0.39622641509433965,2,NA,0,NA,1,883.3333333333334,800,966.6666666666667,17,target
111_pomper_saffran_2016_42,14,111,pomper_saffran_2016,42,red,red,target,79,21,0.79,NA,2,NA,0,NA,2,1316.6666666666667,666.6666666666667,1966.6666666666667,17,target
111_pomper_saffran_2016_42,15,111,pomper_saffran_2016,42,brown,brown,target,90,11,0.8910891089108911,0.4339622641509434,1,NA,0,NA,0,2766.666666666667,233.33333333333334,2766.666666666667,17,target
112_pomper_saffran_2016_43,1,112,pomper_saffran_2016,43,orange,orange,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
112_pomper_saffran_2016_43,5,112,pomper_saffran_2016,43,red,red,target,97,4,0.9603960396039604,NA,1,NA,0,NA,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,18,target
112_pomper_saffran_2016_43,7,112,pomper_saffran_2016,43,orange,orange,target,96,0,1,NA,1,NA,1,NA,0,3200,3200,3200,18,target
113_pomper_saffran_2016_42,5,113,pomper_saffran_2016,42,yellow,yellow,target,77,7,0.9166666666666666,NA,1,NA,0,NA,0,2566.666666666667,2566.666666666667,2566.666666666667,17,target
113_pomper_saffran_2016_42,7,113,pomper_saffran_2016,42,white,white,target,51,53,0.49038461538461536,NA,1,NA,0,NA,1,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,target
113_pomper_saffran_2016_42,8,113,pomper_saffran_2016,42,blue,blue,target,57,41,0.5816326530612245,NA,2,NA,0,NA,2,950,600,1300,17,target
114_pomper_saffran_2016_42,9,114,pomper_saffran_2016,42,green,green,target,47,53,0.47,NA,1,NA,0,NA,1,1300,266.6666666666667,1300,17,target
114_pomper_saffran_2016_42,11,114,pomper_saffran_2016,42,black,black,target,103,0,1,NA,1,NA,1,NA,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,17,target
114_pomper_saffran_2016_42,12,114,pomper_saffran_2016,42,brown,brown,target,83,17,0.83,NA,1,NA,0,NA,1,2466.666666666667,300,2466.666666666667,17,target
114_pomper_saffran_2016_42,16,114,pomper_saffran_2016,42,blue,blue,target,80,20,0.8,NA,1,NA,0,NA,1,2366.666666666667,300,2366.666666666667,17,target
115_pomper_saffran_2016_42,13,115,pomper_saffran_2016,42,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
115_pomper_saffran_2016_42,15,115,pomper_saffran_2016,42,orange,orange,target,67,28,0.7052631578947368,NA,1,NA,0,NA,1,2033.3333333333335,2033.3333333333335,2033.3333333333335,17,target
115_pomper_saffran_2016_42,16,115,pomper_saffran_2016,42,brown,brown,target,85,16,0.8415841584158416,NA,1,NA,0,NA,1,2466.666666666667,366.6666666666667,2466.666666666667,17,target
116_pomper_saffran_2016_45,1,116,pomper_saffran_2016,45,red,red,target,91,9,0.91,NA,1,NA,0,NA,0,2900,2900,2900,20,target
116_pomper_saffran_2016_45,6,116,pomper_saffran_2016,45,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
116_pomper_saffran_2016_45,8,116,pomper_saffran_2016,45,orange,orange,target,67,35,0.6568627450980392,NA,1,NA,1,NA,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,20,target
117_pomper_saffran_2016_43,13,117,pomper_saffran_2016,43,green,green,target,86,17,0.8349514563106796,NA,1,NA,0,NA,1,2866.666666666667,2866.666666666667,2866.666666666667,18,target
117_pomper_saffran_2016_43,14,117,pomper_saffran_2016,43,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
117_pomper_saffran_2016_43,15,117,pomper_saffran_2016,43,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
117_pomper_saffran_2016_43,16,117,pomper_saffran_2016,43,white,white,target,68,5,0.9315068493150684,NA,1,NA,1,NA,0,2266.666666666667,2266.666666666667,2266.666666666667,18,target
118_pomper_saffran_2016_42,9,118,pomper_saffran_2016,42,red,red,target,79,19,0.8061224489795918,NA,2,NA,0,NA,2,1316.6666666666667,666.6666666666667,1966.6666666666667,17,target
118_pomper_saffran_2016_42,12,118,pomper_saffran_2016,42,white,white,target,42,55,0.4329896907216495,0.39622641509433965,1,NA,0,NA,1,1033.3333333333335,1033.3333333333335,1033.3333333333335,17,target
118_pomper_saffran_2016_42,15,118,pomper_saffran_2016,42,brown,brown,target,106,0,1,0.4811320754716981,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
119_pomper_saffran_2016_43,2,119,pomper_saffran_2016,43,black,black,target,105,0,1,NA,1,NA,1,NA,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,18,target
119_pomper_saffran_2016_43,6,119,pomper_saffran_2016,43,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
119_pomper_saffran_2016_43,7,119,pomper_saffran_2016,43,black,black,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
120_pomper_saffran_2016_42,11,120,pomper_saffran_2016,42,red,red,target,24,71,0.25263157894736843,NA,1,NA,0,NA,1,500.00000000000006,500.00000000000006,500.00000000000006,17,target
120_pomper_saffran_2016_42,12,120,pomper_saffran_2016,42,orange,orange,target,51,7,0.8793103448275862,NA,1,NA,0,NA,0,1466.6666666666667,1466.6666666666667,1466.6666666666667,17,target
121_pomper_saffran_2016_42,2,121,pomper_saffran_2016,42,blue,blue,target,84,13,0.865979381443299,NA,1,NA,1,NA,1,2800,2800,2800,17,target
121_pomper_saffran_2016_42,5,121,pomper_saffran_2016,42,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
121_pomper_saffran_2016_42,7,121,pomper_saffran_2016,42,white,white,target,83,16,0.8383838383838383,NA,1,NA,0,NA,1,2500,266.6666666666667,2500,17,target
121_pomper_saffran_2016_42,8,121,pomper_saffran_2016,42,blue,blue,target,72,25,0.7422680412371134,NA,1,NA,0,NA,1,2133.3333333333335,266.6666666666667,2133.3333333333335,17,target
122_pomper_saffran_2016_44,2,122,pomper_saffran_2016,44,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,target
122_pomper_saffran_2016_44,4,122,pomper_saffran_2016,44,orange,orange,target,83,17,0.83,NA,1,NA,0,NA,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,19,target
122_pomper_saffran_2016_44,5,122,pomper_saffran_2016,44,white,white,target,95,6,0.9405940594059405,NA,1,NA,1,NA,0,3166.666666666667,3166.666666666667,3166.666666666667,19,target
122_pomper_saffran_2016_44,8,122,pomper_saffran_2016,44,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,target
123_pomper_saffran_2016_43,10,123,pomper_saffran_2016,43,white,white,target,74,27,0.7326732673267327,0.5188679245283019,1,NA,0,NA,1,2166.666666666667,300,2166.666666666667,18,target
123_pomper_saffran_2016_43,11,123,pomper_saffran_2016,43,green,green,target,68,32,0.68,NA,1,NA,1,NA,1,2100,2100,2100,18,target
123_pomper_saffran_2016_43,13,123,pomper_saffran_2016,43,brown,brown,target,82,19,0.8118811881188119,0.5188679245283019,2,NA,0,NA,2,1366.6666666666667,1566.6666666666667,1566.6666666666667,18,target
123_pomper_saffran_2016_43,14,123,pomper_saffran_2016,43,blue,blue,target,63,35,0.6428571428571429,NA,1,NA,0,NA,1,2100,2100,2100,18,target
123_pomper_saffran_2016_43,16,123,pomper_saffran_2016,43,black,black,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
