recording_name,age_months,exp_to_target_lang,initial_look,samples_target,samples_distractor,mean_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,mean_number_fixations,total_aoi_switches,mean_duration_of_look,mean_peak_pupil_size_difference,mean_mean_pupil_size_difference,mean_peak_pupil_latency,mean_first_look_dur,exp_to_target_lang_centred,age_months_centred
CompMix36_S01_88272000_F1,46,65,neither,125,18,0.8741258741258742,NA,NA,1,1,1883.3333333333335,0.04499999999999993,0.013804347826086971,399,1883.3333333333335,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,target,336,131,0.7194860813704497,NA,NA,1.3333333333333333,1,1388.888888888889,-0.056666666666666345,-0.03552777777777768,266.3333333333333,1711.1111111111113,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,distractor,236,72,0.7662337662337663,NA,NA,1,2,1883.3333333333335,0.002500000000000391,-0.03916666666666657,108,1750,0.15000000000000002,21
CompMix36_S04_82812000_F1,39,70,target,574,175,0.7663551401869159,0.6540880503144655,0.12399138853351152,1.8,7,1225,0.04200000000000008,0.03245000000000005,406.4,1093.3333333333335,0.19999999999999996,14
CompMix36_S04_82812000_F1,39,70,distractor,253,48,0.840531561461794,NA,NA,1.5,2,1579.1666666666667,0.12499999999999978,0.0641666666666667,624,1741.6666666666667,0.19999999999999996,14
CompMix36_S21_503484000_F1,37,50,target,327,51,0.8650793650793651,0.46226415094339623,0.13786358626907527,3,3,756.2962962962963,0.09666666666666639,0.07386111111111093,227.66666666666666,811.1111111111111,0,12
CompMix36_S21_503484000_F1,37,50,distractor,72,27,0.7272727272727273,NA,NA,2,1,566.6666666666667,0.08000000000000007,0.07383333333333342,384,583.3333333333334,0,12
CompMix36_S21_503484000_F1,37,50,neither,42,49,0.46153846153846156,NA,NA,1,2,550,NA,NA,NA,550,0,12
CompMix36_S25_93468000_F1,37,90,distractor,312,65,0.8275862068965517,0.4528301886792453,0.13341637380878252,3.3333333333333335,2,491.6666666666667,0.11166666666666665,0.07697222222222229,283.3333333333333,594.4444444444445,0.4,12
CompMix36_S25_93468000_F1,37,90,target,417,89,0.8241106719367589,0.6698113207547169,0.18233571087200287,2,3,868.7500000000001,0.1612499999999999,0.11076190476190484,366.5,1083.3333333333335,0.4,12
CompMix36_S28_502428000_F1,38,40,neither,162,102,0.6136363636363636,NA,NA,1.5,1,945.8333333333335,0.3800000000000001,0.262844827586207,574.5,1191.6666666666667,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,distractor,94,44,0.6811594202898551,NA,NA,1,1,1450,0.025000000000000355,0.028583333333333183,667,1450,-0.09999999999999998,13
